股票代码,code,所属概念数量,所属概念,market_code
301314.SZ,301314,10,WiFi 6;专精特新;新型工业化;5G;F5G概念;汽车电子;粤港澳大湾区;新能源汽车;家用电器;融资融券,33
002966.SZ,002966,5,高股息精选;国企改革;移动支付;融资融券;深股通,33
603630.SH,603630,6,网红经济;医美概念;创投;DeepSeek概念;2026中报预增;沪股通,17
605008.SH,605008,2,可降解塑料;沪股通,17
300030.SZ,300030,12,家庭医生;智能医疗;医疗器械概念;细胞免疫治疗;数据要素;人工智能;DeepSeek概念;横琴新区;云计算;PPP概念;粤港澳大湾区;国企改革,33
000796.SZ,000796,13,旅游概念;免税店;冰雪产业;体育产业;养老概念;露营经济;海南自贸区;跨境支付(CIPS);互联网金融;乡村振兴;国企改革;海峡两岸;深股通,33
002641.SZ,002641,13,地下管网;新型城镇化;京津冀一体化;水利;共同富裕示范区;天然气;光伏建筑一体化;机器人概念;储能;光伏概念;工业互联网;融资融券;深股通,33
603918.SH,603918,23,Web3.0;AIGC概念;AI应用;智慧政务;在线教育;数据确权;区块链;云办公;互联网金融;蚂蚁集团概念;信创;DeepSeek概念;阿里巴巴概念;抖音概念(字节概念);人工智能;智能医疗;化债概念(AMC概念);华为概念;机器人概念;机器视觉;上海自贸区;融资融券;沪股通,17
002576.SZ,002576,6,机器人概念;比亚迪概念;新能源汽车;专精特新;风电;特高压,33
600343.SH,600343,12,军民融合;大飞机;军工;高端装备;水利;央企国企改革;西部大开发;国企改革;氢能源;煤化工概念;沪股通;融资融券,17
603303.SH,603303,7,汽车电子;智慧灯杆;人民币贬值受益;新能源汽车;智慧城市;股权转让(并购重组);沪股通,17
000998.SZ,000998,12,玉米;转基因;粮食概念;农业种植;生态农业;俄乌冲突概念;乡村振兴;国企改革;基因测序;鸿蒙概念;深股通;融资融券,33
301581.SZ,301581,6,芯片概念;光伏概念;专精特新;新能源汽车;供销社;融资融券,33
300476.SZ,300476,28,共封装光学(CPO);PCB概念;富士康概念;AI PC;5G;AI手机;汽车电子;英伟达概念;芯片概念;数据中心(AIDC);小米概念;东数西算(算力);光伏概念;特斯拉概念;新能源汽车;人形机器人;虚拟现实;储能;智能电网;海峡两岸;机器人概念;粤港澳大湾区;物联网;人民币贬值受益;深股通;同花顺出海50;乡村振兴;融资融券,33
688353.SH,688353,11,钠离子电池;固态电池;锂电池概念;氟化工概念;宁德时代概念;有机硅概念;储能;比亚迪概念;专精特新;沪股通;融资融券,17
605378.SH,605378,6,锂电池概念;共同富裕示范区;人民币贬值受益;长三角一体化;工业互联网;沪股通,17
300445.SZ,300445,6,商业航天;传感器;特斯拉概念;物联网;高端装备;芯片概念,33
002578.SZ,002578,6,国企改革;海峡两岸;宁德时代概念;新能源汽车;光伏概念;5G,33
603718.SH,603718,6,动物疫苗;ST板块;基因测序;医疗器械概念;牙科医疗;股权转让(并购重组),22
301408.SZ,301408,14,医药电商;流感;创新药;合成生物;养老概念;智能医疗;医疗器械概念;AI应用;人工智能;阿里巴巴概念;AI智能体;智能物流;深股通;融资融券,33
603366.SH,603366,15,建筑节能;参股银行;蚂蚁集团概念;区块链;空气能热泵;创投;家用电器;智能家居;储能;充电桩;华为概念;光伏概念;特斯拉概念;融资融券;沪股通,17
301399.SZ,301399,6,空气能热泵;专精特新;家用电器;液冷服务器;数据中心(AIDC);融资融券,33
600985.SH,600985,9,煤炭概念;煤化工概念;超超临界发电;绿色电力;国企改革;民爆概念;华为概念;融资融券;沪股通,17
600860.SH,600860,11,京津冀一体化;燃料电池;低空经济;机器人概念;新型工业化;氢能源;国企改革;天然气;俄乌冲突概念;沪股通;融资融券,17
600328.SH,600328,12,水泥概念;国企改革;西部大开发;央企国企改革;小金属概念;锂电池概念;DeepSeek概念;核电;股权转让(并购重组);中字头股票;沪股通;融资融券,17
300441.SZ,300441,7,家用电器;高端装备;空气能热泵;燃料电池;锂电池概念;光伏概念;深股通,33
603069.SH,603069,12,海南自贸区;自由贸易港;网约车;旅游概念;跨境电商;国企改革;无人驾驶;充电桩;新能源汽车;股权转让(并购重组);沪股通;融资融券,17
603610.SH,603610,10,传感器;智能家居;人民币贬值受益;脑机接口;三胎概念;养老概念;人工智能;鸿蒙概念;AI智能体;沪股通,17
600351.SH,600351,11,维生素;医药电商;流感;仿制药一致性评价;创新药;重组蛋白;幽门螺杆菌概念;农业种植;三胎概念;沪股通;融资融券,17
300021.SZ,300021,30,地下管网;乡村振兴;生态农业;农业种植;PPP概念;新型城镇化;土地流转;粮食概念;新疆振兴;水利;污水处理;土壤修复;西部大开发;京津冀一体化;雅下水电概念;一带一路;光伏建筑一体化;数字乡村;数字经济;DeepSeek概念;人工智能;智慧城市;AI应用;数字孪生;鸿蒙概念;物联网;数据安全;云计算;机器人概念;华为概念,33
002995.SZ,002995,25,快手概念;小红书概念;拼多多概念;短剧游戏;Web3.0;云办公;财税数字化;文化传媒概念;AIGC概念;虚拟数字人;抖音概念(字节概念);百度概念;腾讯概念;AI应用;IP经济(谷子经济);阿里巴巴概念;AI智能体;区块链;元宇宙;数字经济;DeepSeek概念;京津冀一体化;人工智能;预制菜;虚拟现实,33
603535.SH,603535,14,自由贸易港;统一大市场;航运概念;跨境电商;智能物流;数字经济;拼多多概念;阿里巴巴概念;抖音概念(字节概念);物联网;粤港澳大湾区;低空经济;无人驾驶;沪股通,17
688501.SH,688501,5,碳中和;氢能源;储能;超超临界发电;融资融券,17
000848.SZ,000848,5,高股息精选;网红经济;京津冀一体化;融资融券;深股通,33
600681.SH,600681,8,天然气;高股息精选;氢能源;京津冀一体化;机器人概念;人形机器人;沪股通;融资融券,17
000831.SZ,000831,8,稀土永磁;小金属概念;央企国企改革;国企改革;深股通;同花顺中特估100;中字头股票;融资融券,33
300569.SZ,300569,8,横琴新区;海工装备;风电;国企改革;绿色电力;光伏概念;融资融券;深股通,33
002946.SZ,002946,5,乳业;西部大开发;绿色电力;融资融券;深股通,33
301388.SZ,301388,6,充电桩;物联网;光伏概念;专精特新;传感器;融资融券,33
600330.SH,600330,30,第三代半导体;先进封装;PCB概念;OLED;MicroLED概念;5G;芯片概念;AI眼镜;无线充电;汽车电子;智能穿戴;毫米波雷达;卫星导航;量子科技;数据中心(AIDC);商业航天;光伏概念;军工;充电桩;储能;新能源汽车;锂电池概念;高端装备;长三角一体化;创投;固废处理;智能物流;融资融券;乡村振兴;沪股通,17
301198.SZ,301198,6,跨境电商;智能物流;比亚迪概念;华为概念;特斯拉概念;融资融券,33
300284.SZ,300284,27,房屋检测;空间计算;网约车;京津冀一体化;AI智能体;新型城镇化;DeepSeek概念;雄安新区;乡村振兴;数字孪生;PPP概念;智慧城市;水利;食品安全;雅下水电概念;创投;国企改革;车联网(车路协同);一带一路;碳中和;低空经济;粤港澳大湾区;无人机;储能;俄乌冲突概念;深股通;融资融券,33
300375.SZ,300375,13,长安汽车概念;小米汽车;华为汽车;汽车热管理;比亚迪概念;机器人概念;新能源汽车;百度概念;小米概念;传感器;储能;京津冀一体化;宁德时代概念,33
002404.SZ,002404,12,跨境电商;三胎概念;共同富裕示范区;高股息精选;长三角一体化;一带一路;IP经济(谷子经济);互联网金融;人民币贬值受益;绿色电力;石墨烯;光伏概念,33
002016.SZ,002016,9,物业管理;国企改革;广东自贸区;一带一路;海工装备;粤港澳大湾区;深股通;融资融券;2026中报预增,33
000813.SZ,000813,16,NMN概念;生物疫苗;重组蛋白;仿制药一致性评价;合成生物;创新药;减肥药;医美概念;民营医院;养老概念;工业大麻;CRO概念;西部大开发;国企改革;深股通;融资融券,33
002730.SZ,002730,15,算力租赁;东数西算(算力);电力物联网;卫星导航;数据中心(AIDC);3D打印;物联网;华为概念;鸿蒙概念;人工智能;军工;机器人概念;工业互联网;新能源汽车;深股通,33
688077.SH,688077,13,稀土永磁;专精特新;比亚迪概念;小金属概念;消费电子概念;新能源汽车;机器人概念;金属钴;华为概念;人形机器人;风电;固废处理;融资融券,17
688113.SH,688113,9,专精特新;比亚迪概念;小米概念;新能源汽车;华为汽车;小米汽车;军工;航空发动机;融资融券,17
688021.SH,688021,4,氢能源;专精特新;燃料电池;融资融券,17
002078.SZ,002078,4,代糖概念;一带一路;深股通;融资融券,33
002160.SZ,002160,13,金属回收;国企改革;锂电池概念;宁德时代概念;固态电池;医疗器械概念;比亚迪概念;汽车热管理;新能源汽车;特斯拉概念;工业母机;深股通;融资融券,33
300411.SZ,300411,18,PM2.5;可控核聚变;高铁;军民融合;专精特新;商业航天;军工;水利;无人机;核电;飞行汽车(eVTOL);低空经济;海工装备;共同富裕示范区;人工智能;高端装备;雅下水电概念;深股通,33
000691.SZ,000691,3,西部大开发;锂电池概念;摘帽,33
600372.SH,600372,19,国产航母;军民融合;央企国企改革;大飞机;军工信息化;国企改革;军工;低空经济;无人机;飞行汽车(eVTOL);卫星导航;商业航天;新能源汽车;传感器;芯片概念;光纤概念;沪股通;融资融券;中字头股票,17
920082.BJ,920082,4,天然气;海工装备;专精特新;融资融券,151
301108.SZ,301108,5,宠物经济;三胎概念;合成生物;重组蛋白;融资融券,33
601600.SH,601600,15,中字头股票;小金属概念;稀土永磁;俄乌冲突概念;2026一季报预增;同花顺中特估100;锂电池概念;乡村振兴;央企国企改革;国企改革;沪股通;融资融券;风电;PCB概念;2026中报预增,17
000503.SZ,000503,15,家庭医生;养老概念;数据确权;数字经济;DRG/DIP;数据要素;AI应用;人工智能;智能医疗;国企改革;AI智能体;央企国企改革;华为概念;深股通;融资融券,33
600436.SH,600436,10,超级品牌;证金持股;创新药;肝炎概念;同花顺漂亮100;国企改革;沪股通;融资融券;海峡两岸;专精特新,17
301498.SZ,301498,5,宠物经济;特色小镇;数字孪生;深股通;融资融券,33
002585.SZ,002585,17,PET铜箔;OLED;柔性屏(折叠屏);消费电子概念;小米概念;光伏概念;华为概念;锂电池概念;新能源汽车;可降解塑料;区块链;建筑节能;绿色电力;参股银行;MLCC概念;融资融券;深股通,33
301590.SZ,301590,10,高压快充;数据中心(AIDC);小米概念;换电概念;新能源汽车;充电桩;储能;粤港澳大湾区;深股通;融资融券,33
300218.SZ,300218,13,中俄贸易概念;足球概念;一带一路;石墨烯;新能源汽车;比亚迪概念;绿色电力;华为概念;小米概念;消费电子概念;苹果概念;华为手机;芯片概念,33
301588.SZ,301588,4,粤港澳大湾区;人民币贬值受益;商业航天;融资融券,33
600679.SH,600679,11,共享单车;网红经济;体育产业;跨境电商;物业管理;三胎概念;国企改革;两轮车;互联网金融;创投;医疗器械概念,17
300171.SZ,300171,12,细胞免疫治疗;生物疫苗;合成生物;基因测序;医疗器械概念;智能医疗;DeepSeek概念;独角兽概念;机器人概念;华为概念;融资融券;深股通,33
000801.SZ,000801,27,军民融合;军工信息化;大飞机;低空经济;智能物流;数据要素;数字经济;军工;人工智能;无人机;DeepSeek概念;卫星导航;智能家居;机器视觉;商业航天;同花顺新质50;智能座舱;国企改革;西部大开发;物业管理;华为概念;专精特新;消费电子概念;WiFi 6;PCB概念;深股通;融资融券,33
300855.SZ,300855,9,航空发动机;大飞机;军民融合;军工;核电;专精特新;特钢概念;融资融券;深股通,33
605020.SH,605020,10,环氧丙烷;PVDF概念;氟化工概念;共同富裕示范区;一带一路;智能物流;液冷服务器;2026中报预增;沪股通;融资融券,17
002310.SZ,002310,18,股权转让(并购重组);生态农业;绿色电力;土壤修复;风电;PPP概念;固废处理;乡村振兴;京津冀一体化;雄安新区;汽车拆解概念;国企改革;储能;污水处理;新型城镇化;水利;金属回收;深股通,33
000919.SZ,000919,9,高压氧舱;仿制药一致性评价;民营医院;创新药;养老概念;医美概念;医疗器械概念;国企改革;创投,33
603871.SH,603871,8,统一大市场;冷链物流;PPP概念;中俄贸易概念;智能物流;一带一路;沪股通;融资融券,17
300972.SZ,300972,9,农业种植;乳业;土地流转;IP经济(谷子经济);乡村振兴;海峡两岸;股权转让(并购重组);深股通;融资融券,33
300645.SZ,300645,35,职业教育;数据要素;在线教育;AIGC概念;AI应用;智慧政务;AI智能体;华为鲲鹏;智慧城市;人脸识别;区块链;元宇宙;Web3.0;数字经济;华为欧拉;移动支付;数字货币;人工智能;DeepSeek概念;数字孪生;智谱AI;腾讯概念;阿里巴巴概念;百度概念;云计算;养老概念;食品安全;华为昇腾;蚂蚁集团概念;创投;物联网;体育产业;共同富裕示范区;华为概念;数据中心(AIDC),33
600830.SH,600830,7,烟草;共同富裕示范区;化债概念(AMC概念);互联网金融;国企改革;融资融券;股权转让(并购重组),17
600512.SH,600512,6,PPP概念;参股银行;创投;一带一路;数字孪生;融资融券,17
301129.SZ,301129,15,专精特新;智慧城市;数据要素;工业互联网;AI智能体;人工智能;芯片概念;DeepSeek概念;AI应用;第三代半导体;空气能热泵;碳中和;新型城镇化;新疆振兴;融资融券,33
688592.SH,688592,14,卫星导航;商业航天;无人机;低空经济;专精特新;车联网(车路协同);机器人概念;物联网;无人驾驶;农机;腾讯概念;芯片概念;乡村振兴;融资融券,17
002375.SZ,002375,17,百度概念;新型城镇化;光伏建筑一体化;装配式建筑;腾讯概念;建筑节能;智慧城市;人工智能;高铁;工业互联网;安防;智能家居;华为概念;虚拟现实;3D打印;深股通;融资融券,33
600560.SH,600560,4,新型工业化;工业互联网;国企改革;央企国企改革,17
002145.SZ,002145,10,钛白粉概念;钒电池;磷化工;锂电池概念;动力电池回收;宁德时代概念;西部大开发;深股通;2026中报预增;融资融券,33
300993.SZ,300993,5,跨境电商;露营经济;智能物流;建筑节能;融资融券,33
000525.SZ,000525,9,草甘膦;农村电商;合成生物;乡村振兴;NMN概念;国企改革;深股通;维生素;股权转让(并购重组),33
300440.SZ,300440,14,专精特新;军工;虚拟现实;机器人概念;高铁;无人驾驶;智能物流;人工智能;职业教育;储能;数字孪生;AI智能体;西部大开发;深股通,33
600826.SH,600826,14,体育产业;参股银行;宠物经济;上海国企改革;参股券商;证金持股;AI智能体;国企改革;创投;人工智能;机器人概念;人形机器人;沪股通;融资融券,17
300045.SZ,300045,29,军工信息化;卫星导航;军民融合;大飞机;商业航天;成飞概念;时空大数据;军工;无人机;网络安全;低空经济;车联网(车路协同);数字孪生;6G概念;智慧城市;虚拟现实;飞行汽车(eVTOL);无人驾驶;人工智能;工业互联网;毫米波雷达;独角兽概念;农机;京津冀一体化;消费电子概念;芯片概念;创投;深股通;融资融券,33
002327.SZ,002327,2,高股息精选;深股通,33
603050.SH,603050,13,金属回收;高压快充;智能电网;虚拟电厂;充电桩;储能;京津冀一体化;雄安新区;光伏概念;绿色电力;特斯拉概念;沪股通;融资融券,17
603109.SH,603109,14,无人机;专精特新;新能源汽车;数据中心(AIDC);机器人概念;人民币贬值受益;储能;水利;农机;中俄贸易概念;一带一路;西部大开发;乡村振兴;沪股通,17
301393.SZ,301393,5,CRO概念;减肥药;创新药;深股通;融资融券,33
920445.BJ,920445,5,海峡两岸;人民币贬值受益;跨境电商;融资融券;一带一路,151
603600.SH,603600,9,跨境电商;养老概念;人民币贬值受益;一带一路;可降解塑料;智能家居;工业互联网;高股息精选;鸿蒙概念,17
301439.SZ,301439,17,中俄贸易概念;一带一路;充电桩;海峡两岸;储能;智能家居;家用电器;高压快充;小米汽车;铜缆高速连接;新能源汽车;小米概念;比亚迪概念;消费电子概念;富士康概念;深股通;融资融券,33
300829.SZ,300829,6,可降解塑料;土地流转;玉米;参股银行;乡村振兴;农业种植,33
000685.SZ,000685,21,参股券商;证金持股;航运概念;国企改革;绿色电力;创投;污水处理;天然气;智慧城市;人工智能;数字经济;虚拟电厂;垃圾分类;固废处理;低空经济;粤港澳大湾区;充电桩;储能;深股通;融资融券;2026中报预增,33
600489.SH,600489,9,黄金概念;金属铜;小金属概念;央企国企改革;国企改革;沪股通;融资融券;2026中报预增;中字头股票,17
920146.BJ,920146,4,融资融券;氢能源;比亚迪概念;新能源汽车,151
600816.SH,600816,4,信托概念;参股银行;融资融券;沪股通,17
920178.BJ,920178,8,芯片概念;高端装备;PCB概念;专精特新;苹果概念;机器视觉;新股与次新股;融资融券,151
002492.SZ,002492,4,创投;横琴新区;统一大市场;粤港澳大湾区,33
300719.SZ,300719,16,军民融合;军工信息化;成飞概念;大飞机;碳纤维;飞行汽车(eVTOL);军工;低空经济;信创;京津冀一体化;无人机;高端装备;商业航天;专精特新;虚拟现实;航空发动机,33
603309.SH,603309,3,医疗器械概念;人民币贬值受益;高股息精选,17
300305.SZ,300305,11,PET铜箔;OLED;BC电池;光伏概念;锂电池概念;专精特新;新能源汽车;虚拟电厂;MLCC概念;PCB概念;比亚迪概念,33
300505.SZ,300505,9,磷化工;化肥;西部大开发;固废处理;宠物经济;一带一路;人民币贬值受益;深股通;融资融券,33
300065.SZ,300065,23,军工信息化;商业航天;军工;国产航母;高端装备;传感器;专精特新;海工装备;云计算;机器人概念;腾讯概念;东数西算(算力);数据要素;数据中心(AIDC);阿里巴巴概念;人工智能;算力租赁;DeepSeek概念;京津冀一体化;风电;深股通;融资融券;股权转让(并购重组),33
603058.SH,603058,11,烟草;AIGC概念;AI智能体;创投;IP经济(谷子经济);短剧游戏;西部大开发;工业大麻;芯片概念;第三代半导体;股权转让(并购重组),17
000850.SZ,000850,12,参股银行;参股保险;国企改革;冷链物流;参股券商;创投;数字经济;金属铜;小金属概念;金属铅;金属锌;融资融券,33
603365.SH,603365,3,高股息精选;网红经济;沪股通,17
603991.SH,603991,9,存储芯片;核电;芯片概念;华为概念;5G;先进封装;机器视觉;股权转让(并购重组);沪股通,17
603877.SH,603877,3,共同富裕示范区;沪股通;融资融券,17
300864.SZ,300864,8,净水概念;污水处理;土壤修复;水利;人工智能;碳中和;高股息精选;融资融券,33
688229.SH,688229,21,华为昇腾;数据安全;云计算;华为鲲鹏;信创;东数西算(算力);数据中心(AIDC);抖音概念(字节概念);百度概念;腾讯概念;鸿蒙概念;数据要素;阿里巴巴概念;AI应用;华为概念;数字经济;DeepSeek概念;人工智能;互联网金融;工业互联网;融资融券,17
688328.SH,688328,24,存储芯片;先进封装;共封装光学(CPO);第三代半导体;OLED;芯片概念;MiniLED;柔性屏(折叠屏);消费电子概念;电子纸;AI眼镜;MR(混合现实);智能穿戴;专精特新;华为概念;虚拟现实;小米概念;锂电池概念;机器视觉;新能源汽车;新型工业化;机器人概念;2026中报预增;融资融券,17
300111.SZ,300111,4,幽门螺杆菌概念;流感;深股通;股权转让(并购重组),33
002337.SZ,002337,11,智能物流;互联网金融;工业互联网;京津冀一体化;医疗器械概念;数字孪生;高端装备;机器人概念;专精特新;天津自贸区;大飞机,33
605086.SH,605086,6,海峡两岸;创投;国企改革;锂电池概念;沪股通;股权转让(并购重组),17
002722.SZ,002722,11,创投;独角兽概念;国企改革;人工智能;AIGC概念;氢能源;燃料电池;高端装备;特钢概念;语音技术;ChatGPT概念,33
000925.SZ,000925,36,数字水印;算力租赁;东数西算(算力);数据中心(AIDC);芯片概念;卫星导航;先进封装;时空大数据;高铁;商业航天;华为概念;信创;数据确权;无人机;车联网(车路协同);无人驾驶;智慧城市;元宇宙;多模态AI;ChatGPT概念;机器视觉;低空经济;数据要素;数字经济;数字孪生;工业互联网;人工智能;虚拟数字人;机器人概念;一带一路;空间计算;医疗器械概念;乡村振兴;合成生物;AI应用;深股通,33
603015.SH,603015,20,工业母机;同花顺新质50;新型工业化;机器人概念;芯片概念;物联网;工业互联网;可控核聚变;MCU芯片;海峡两岸;光伏概念;人工智能;核电;充电桩;储能;智能电网;风电;虚拟电厂;沪股通;融资融券,17
688602.SH,688602,10,光刻胶;有机硅概念;OLED;氟化工概念;超级电容;锂电池概念;CRO概念;固态电池;减肥药;融资融券,17
002941.SZ,002941,17,PPP概念;新型城镇化;土地流转;水利;一带一路;新疆振兴;国企改革;西部大开发;AI智能体;人工智能;ETC;风电;智慧灯杆;商业航天;卫星导航;融资融券;深股通,33
301512.SZ,301512,15,新型工业化;机器视觉;空间计算;苹果概念;虚拟现实;智能穿戴;富士康概念;机器人概念;高端装备;消费电子概念;人工智能;PCB概念;数字经济;锂电池概念;融资融券,33
600613.SH,600613,2,医药电商;流感,17
920414.BJ,920414,12,BC电池;机器视觉;数字孪生;钙钛矿电池;融资融券;机器人概念;无人机;光伏概念;储能;人工智能;云计算;专精特新,151
002033.SZ,002033,8,冰雪产业;旅游概念;IP经济(谷子经济);高股息精选;西部大开发;2026一季报预增;深股通;融资融券,33
002707.SZ,002707,19,旅游概念;冰雪产业;IP经济(谷子经济);宠物经济;露营经济;体育产业;乡村振兴;京津冀一体化;跨境支付(CIPS);互联网金融;足球概念;AI应用;区块链;一带一路;人工智能;AI智能体;阿里巴巴概念;深股通;融资融券,33
600982.SH,600982,17,抽水蓄能;生物质能发电;绿色电力;华为数字能源;风电;光伏建筑一体化;碳中和;储能;光伏概念;国企改革;航运概念;华为概念;统一大市场;共同富裕示范区;高股息精选;建筑节能;沪股通,17
600501.SH,600501,25,成飞概念;大飞机;军工;卫星导航;商业航天;高端装备;核污染防治;核电;机器人概念;无人驾驶;新型工业化;可控核聚变;充电桩;垃圾分类;新能源汽车;长三角一体化;氢能源;央企国企改革;国企改革;特高压;光热发电;天然气;煤化工概念;沪股通;融资融券,17
603183.SH,603183,9,装配式建筑;建筑节能;新型城镇化;房屋检测;职业教育;碳中和;智慧城市;机器人概念;数据中心(AIDC),17
301120.SZ,301120,16,智能电网;柔性直流输电;数据中心(AIDC);风电;绿色电力;核电;储能;水利;海工装备;光伏概念;军工;机器人概念;专精特新;钠离子电池;深股通;融资融券,33
301302.SZ,301302,27,空间计算;数字孪生;军工信息化;元宇宙;手机游戏;AI智能体;AI应用;文化传媒概念;数字经济;核污染防治;军民融合;京津冀一体化;网络游戏;DeepSeek概念;腾讯概念;人工智能;卫星导航;军工;成飞概念;机器人概念;虚拟现实;商业航天;无人机;MR(混合现实);核电;时空大数据;融资融券,33
001326.SZ,001326,8,物联网;智能家居;充电桩;人民币贬值受益;粤港澳大湾区;一带一路;储能;融资融券,33
002103.SZ,002103,8,IP经济(谷子经济);跨境电商;数字经济;创投;一带一路;腾讯概念;虚拟现实;深股通,33
688651.SH,688651,18,信创;数据安全;网络安全;云计算;国产操作系统;数据要素;智慧城市;数字货币;卫星导航;华为概念;低空经济;人工智能;专精特新;DeepSeek概念;空间计算;商业航天;量子科技;融资融券,17
301525.SZ,301525,11,人形机器人;汽车热管理;机器人概念;新能源汽车;汽车电子;专精特新;空气能热泵;数据中心(AIDC);冷链物流;深股通;融资融券,33
002629.SZ,002629,4,页岩气;俄乌冲突概念;天然气;光伏概念,33
601963.SH,601963,5,高股息精选;乡村振兴;西部大开发;融资融券;沪股通,17
603638.SH,603638,11,减速器;工业母机;新型工业化;人形机器人;机器人概念;高端装备;雅下水电概念;储能;智能电网;融资融券;沪股通,17
000607.SZ,000607,22,NFT概念;文化传媒概念;职业教育;知识产权保护;短剧游戏;虚拟数字人;在线教育;三胎概念;共同富裕示范区;AI应用;数字经济;数据确权;托育服务;快手概念;创投;蚂蚁集团概念;国企改革;百度概念;阿里巴巴概念;长三角一体化;低空经济;融资融券,33
002228.SZ,002228,6,福建自贸区;海峡两岸;数字水印;高股息精选;小米概念;深股通,33
301682.SZ,301682,29,超级电容;先进封装;苹果概念;汽车电子;消费电子概念;注册制次新股;芯片概念;柔性直流输电;传感器;卫星导航;商业航天;数据中心(AIDC);可控核聚变;东数西算(算力);比亚迪概念;新能源汽车;军工;华为概念;储能;大飞机;高端装备;核电;锂电池概念;国企改革;西部大开发;MLCC概念;深股通;新股与次新股;融资融券,33
002877.SZ,002877,4,新型工业化;工业互联网;专精特新;人工智能,33
300787.SZ,300787,15,智能家居;机器人概念;人民币贬值受益;安防;一带一路;储能;智能穿戴;数据中心(AIDC);宠物经济;无线耳机;无线充电;消费电子概念;苹果概念;锂电池概念;第三代半导体,33
301365.SZ,301365,7,AIGC概念;人工智能;粤港澳大湾区;创投;新型城镇化;深股通;融资融券,33
688613.SH,688613,2,医疗器械概念;融资融券,17
000017.SZ,000017,5,两轮车;粤港澳大湾区;锂电池概念;黄金概念;智能穿戴,33
601158.SH,601158,8,证金持股;国企改革;PPP概念;西部大开发;污水处理;净水概念;沪股通;融资融券,17
603586.SH,603586,4,高铁;人民币贬值受益;新能源汽车;比亚迪概念,17
605098.SH,605098,6,高股息精选;在线教育;职业教育;AI应用;DeepSeek概念;沪股通,17
002315.SZ,002315,20,AIGC概念;ERP概念;互联网保险;AI应用;跨境支付(CIPS);互联网金融;多模态AI;在线教育;AI智能体;跨境电商;云计算;家庭医生;人工智能;信创;智能医疗;创投;参股银行;海峡两岸;虚拟现实;深股通,33
603406.SH,603406,3,参股银行;一带一路;融资融券,17
300748.SZ,300748,11,稀土永磁;比亚迪概念;特斯拉概念;新能源汽车;人形机器人;低空经济;机器人概念;风电;绿色电力;融资融券;深股通,33
603687.SH,603687,16,钙钛矿电池;烟草;数字水印;共同富裕示范区;数字孪生;光伏概念;AIGC概念;芯片概念;DeepSeek概念;人工智能;锂电池概念;工业互联网;物联网;ChatGPT概念;融资融券;沪股通,17
002488.SZ,002488,8,人形机器人;长安汽车概念;比亚迪概念;机器人概念;新能源汽车;独角兽概念;深股通;融资融券,33
002948.SZ,002948,5,高股息精选;跨境支付(CIPS);一带一路;融资融券;深股通,33
001279.SZ,001279,4,专精特新;固态电池;深股通;融资融券,33
300929.SZ,300929,11,净水概念;污水处理;雄安新区;乡村振兴;水利;人工智能;PPP概念;专精特新;氢能源;储能;融资融券,33
000931.SZ,000931,7,仿制药一致性评价;创新药;养老概念;京津冀一体化;雄安新区;创投;融资融券,33
002490.SZ,002490,7,页岩气;天然气;国企改革;氢能源;海工装备;深股通;股权转让(并购重组),33
688455.SH,688455,8,机器人概念;智能物流;人形机器人;专精特新;跨境电商;储能;锂电池概念;融资融券,17
688050.SH,688050,6,眼科医疗;医疗器械概念;人工智能;专精特新;沪股通;融资融券,17
605069.SH,605069,21,智谱AI;水利;元宇宙;土壤修复;智慧城市;碳中和;新型城镇化;AI智能体;AIGC概念;人工智能;污水处理;数字经济;数字孪生;雄安新区;乡村振兴;PPP概念;京津冀一体化;IP经济(谷子经济);物业管理;旅游概念;机器人概念,17
300946.SZ,300946,10,工业母机;人形机器人;新型工业化;机器人概念;高端装备;专精特新;海峡两岸;跨境电商;深股通;融资融券,33
600057.SH,600057,16,玉米;土地流转;统一大市场;农业种植;冷链物流;乡村振兴;国企改革;福建自贸区;一带一路;智能物流;海峡两岸;DeepSeek概念;数据要素;商业航天;沪股通;融资融券,17
002575.SZ,002575,11,算力租赁;东数西算(算力);AI视频;腾讯概念;区块链;DeepSeek概念;粤港澳大湾区;创投;物业管理;深股通;融资融券,33
300957.SZ,300957,12,三胎概念;医美概念;跨境电商;创新药;西部大开发;医疗器械概念;智能医疗;创投;AI应用;人工智能;深股通;融资融券,33
688475.SH,688475,15,物联网;机器人概念;同花顺新质50;DeepSeek概念;AI智能体;智能家居;跨境电商;养老概念;云计算;智能穿戴;国企改革;宠物经济;AI应用;沪股通;融资融券,17
300856.SZ,300856,3,人民币贬值受益;融资融券;深股通,33
601678.SH,601678,16,环氧丙烷;氟化工概念;煤化工概念;消毒剂;氢能源;锂电池概念;参股银行;参股保险;燃料电池;绿色电力;芯片概念;沪股通;融资融券;商业航天;碳交易;2026中报预增,17
603334.SH,603334,6,化肥;生物质能发电;注册制次新股;专精特新;融资融券;新股与次新股,17
688236.SH,688236,9,智能医疗;牙科医疗;医疗器械概念;京津冀一体化;机器人概念;3D打印;专精特新;融资融券;沪股通,17
688660.SH,688660,6,海工装备;风电;上海国企改革;国企改革;融资融券;沪股通,17
002469.SZ,002469,9,煤化工概念;固废处理;高股息精选;氢能源;光热发电;一带一路;储能;深股通;融资融券,33
