股票代码,所属概念数量,所属概念,market_code,code
300432.SZ,22,盐湖提锂;锂电池概念;宁德时代概念;储能;长安汽车概念;比亚迪概念;磷化工;人形机器人;减速器;新能源汽车;小米概念;机器人概念;汽车热管理;华为概念;华为汽车;军工;低空经济;小米汽车;西部大开发;深股通;股权转让(并购重组);融资融券,33,300432
300602.SZ,39,富士康概念;液冷服务器;AI PC;苹果概念;华为手机;5G;华为海思概念股;数据中心;AI眼镜;MR(混合现实);小米概念;汽车热管理;宁德时代概念;比亚迪概念;人形机器人;无人机;特斯拉概念;新能源汽车;2025年报预增;华为概念;无人驾驶;光伏概念;机器人概念;虚拟现实;充电桩;华为汽车;储能;工业互联网;锂电池概念;石墨烯;粤港澳大湾区;一体化压铸;长安汽车概念;家用电器;智能物流;一带一路;物业管理;融资融券;深股通,33,300602
002799.SZ,13,文化传媒概念;虚拟数字人;快手概念;抖音概念(字节概念);腾讯概念;百度概念;数字经济;区块链;ChatGPT概念;阿里巴巴概念;智能物流;西部大开发;国企改革,33,002799
603120.SH,5,光刻胶;专精特新;芯片概念;环氧丙烷;融资融券,17,603120
301118.SZ,9,磷化工;土壤修复;小金属概念;净水概念;一带一路;氢能源;光伏概念;芯片概念;融资融券,33,301118
002425.SZ,18,手机游戏;文化传媒概念;NFT概念;IP经济(谷子经济);网络游戏;AIGC概念;元宇宙;抖音概念(字节概念);快手概念;阿里巴巴概念;腾讯概念;人工智能;云游戏;虚拟现实;AI应用;创投;华为概念;摘帽,33,002425
301338.SZ,25,共封装光学(CPO);MiniLED;先进封装;PCB概念;第三代半导体;富士康概念;工业母机;汽车芯片;华为手机;芯片概念;苹果概念;消费电子概念;高端装备;机器视觉;专精特新;2025年报预增;小米概念;军工;新型工业化;比亚迪概念;华为概念;工业互联网;锂电池概念;深股通;融资融券,33,301338
603982.SH,13,家用电器;长安汽车概念;一体化压铸;华为汽车;减速器;小米汽车;比亚迪概念;新能源汽车;小米概念;特斯拉概念;华为概念;宁德时代概念;融资融券,17,603982
301302.SZ,26,军工信息化;军民融合;核污染防治;成飞概念;卫星导航;商业航天;空间计算;军工;数字孪生;AI智能体;京津冀一体化;文化传媒概念;数字经济;无人机;腾讯概念;DeepSeek概念;元宇宙;人工智能;核电;手机游戏;网络游戏;MR(混合现实);虚拟现实;机器人概念;AI应用;融资融券,33,301302
600615.SH,10,智能家居;农机;长安汽车概念;机器人概念;比亚迪概念;新能源汽车;华为汽车;光伏概念;西部大开发;股权转让(并购重组),17,600615
300126.SZ,1,人民币贬值受益,33,300126
601567.SH,20,电力物联网;智能电网;高压氧舱;充电桩;风电;储能;光伏概念;数据中心;脑机接口;工业互联网;一带一路;人工智能;AI应用;参股银行;智能医疗;养老概念;民营医院;三胎概念;沪股通;融资融券,17,601567
300033.SZ,15,AI语料;多模态AI;ChatGPT概念;AIGC概念;互联网金融;AI智能体;鸿蒙概念;数据要素;AI应用;人工智能;智能医疗;2025年报预增;证金持股;融资融券;深股通,33,300033
603188.SH,3,染料;固废处理;国企改革,17,603188
001217.SZ,5,染料;化肥;煤化工概念;光伏概念;航运概念,33,001217
002444.SZ,13,无人驾驶;露营经济;智能物流;储能;机器人概念;人民币贬值受益;参股银行;智能家居;军工;跨境电商;芯片概念;深股通;融资融券,33,002444
002203.SZ,15,小金属概念;金属镍;金属铜;PET铜箔;固态电池;锂电池概念;钒电池;回购增持再贷款概念;液冷服务器;华为概念;特斯拉概念;参股银行;绿色电力;深股通;融资融券,33,002203
002760.SZ,6,数据中心;海工装备;军工;金属回收;金属锌;股权转让(并购重组),33,002760
300288.SZ,17,AIGC概念;家庭医生;百度概念;智能医疗;DeepSeek概念;人工智能;语音技术;养老概念;华为概念;AI应用;医疗器械概念;5G;智能穿戴;民营医院;西部大开发;医药电商;深股通,33,300288
603326.SH,2,智能家居;工业互联网,17,603326
300063.SZ,20,小红书概念;快手概念;Sora概念(文生视频);AI应用;AIGC概念;抖音概念(字节概念);文化传媒概念;阿里巴巴概念;百度概念;腾讯概念;网红经济;职业教育;人工智能;独角兽概念;华为概念;丙烯酸;2025年报预增;长安汽车概念;光刻胶;深股通,33,300063
601061.SH,12,金属铜;金属锌;黄金概念;小金属概念;金属镍;超导概念;一带一路;国企改革;同花顺中特估100;沪股通;中字头股票;融资融券,17,601061
688636.SH,12,军工信息化;卫星导航;商业航天;华为昇腾;军工;无人机;DeepSeek概念;专精特新;2025年报预增;西部大开发;沪股通;融资融券,17,688636
920357.BJ,6,新能源汽车;融资融券;专精特新;消费电子概念;汽车电子;PCB概念,151,920357
300512.SZ,4,无人零售;高端装备;创投;柔性屏(折叠屏),33,300512
603819.SH,4,新能源汽车;安防;风电;股权转让(并购重组),17,603819
688051.SH,24,数据安全;智慧政务;物联网;华为鲲鹏;智慧城市;数据要素;数据确权;区块链;华为概念;人工智能;AI智能体;DeepSeek概念;量子科技;虚拟数字人;算力租赁;东数西算(算力);传感器;数据中心;PM2.5;商业航天;碳中和;碳交易;股权转让(并购重组);融资融券,17,688051
603057.SH,4,冷链物流;一带一路;预制菜;沪股通,17,603057
603066.SH,20,跨境电商;烟草;冷链物流;统一大市场;智能物流;一带一路;国企改革;物联网;人工智能;机器人概念;工业互联网;数字孪生;新型工业化;专精特新;比亚迪概念;机器视觉;华为概念;特斯拉概念;宁德时代概念;华为数字能源,17,603066
002046.SZ,22,卫星导航;商业航天;军民融合;大飞机;培育钻石;军工;无人机;芯片概念;工业母机;核电;第三代半导体;高端装备;机器人概念;智能医疗;新能源汽车;光伏概念;中芯国际概念;风电;央企国企改革;国企改革;深股通;融资融券,33,002046
300278.SZ,17,机器视觉;工业互联网;数字孪生;新型工业化;机器人概念;人形机器人;高端装备;比亚迪概念;长安汽车概念;智能物流;特斯拉概念;新能源汽车;光伏概念;人民币贬值受益;回购增持再贷款概念;深股通;融资融券,33,300278
002377.SZ,2,互联网金融;股权转让(并购重组),33,002377
603196.SH,4,锂电池概念;虚拟数字人;三胎概念;股权转让(并购重组),17,603196
002594.SZ,24,钠离子电池;深股通;融资融券;同花顺漂亮100;盐湖提锂;超级品牌;动力电池回收;碳交易;锂电池概念;汽车拆解概念;储能;光伏概念;充电桩;高压快充;同花顺出海50;DeepSeek概念;车联网(车路协同);数据中心;机器人概念;粤港澳大湾区;芯片概念;比亚迪概念;无人驾驶;新能源汽车,33,002594
002623.SZ,10,钙钛矿电池;POE胶膜;光伏建筑一体化;光伏概念;建筑节能;绿色电力;储能;一带一路;特斯拉概念;融资融券,33,002623
301020.SZ,9,长安汽车概念;华为汽车;专精特新;新能源汽车;比亚迪概念;燃料电池;国企改革;氢能源;融资融券,33,301020
300541.SZ,36,云计算;数据安全;华为昇腾;信创;腾讯概念;智慧政务;数据确权;华为鲲鹏;抖音概念(字节概念);阿里巴巴概念;区块链;华为盘古;AI智能体;鸿蒙概念;数据要素;Web3.0;数字货币;英伟达概念;DeepSeek概念;ETC;数据中心;华为概念;数字经济;快手概念;蚂蚁集团概念;人工智能;互联网金融;独角兽概念;NFT概念;跨境支付(CIPS);无人驾驶;智能物流;烟草;2025年报预增;AI应用;深股通,33,300541
300150.SZ,6,水利;安防;京津冀一体化;高铁;AIGC概念;专精特新,33,300150
002388.SZ,15,粤港澳大湾区;有机硅概念;华为概念;比亚迪概念;锂电池概念;消费电子概念;固态电池;无人机;新能源汽车;钠离子电池;富士康概念;人形机器人;充电桩;氟化工概念;摘帽,33,002388
301055.SZ,11,2025年报预增;露营经济;AI智能体;物联网;DeepSeek概念;家用电器;跨境电商;NFT概念;IP经济(谷子经济);超级品牌;融资融券,33,301055
688585.SH,10,人形机器人;机器人概念;燃料电池;风电;一带一路;氢能源;可降解塑料;沪股通;股权转让(并购重组);融资融券,17,688585
300662.SZ,11,财税数字化;AI智能体;数据要素;DeepSeek概念;人工智能;职业教育;华为概念;京津冀一体化;AI应用;雄安新区;深股通,33,300662
301041.SZ,28,PCB概念;富士康概念;5G;汽车电子;毫米波雷达;专精特新;数据中心;华为概念;新型工业化;比亚迪概念;粤港澳大湾区;机器人概念;无人机;工业互联网;6G概念;军工;信创;腾讯概念;职业教育;创投;百度概念;商业航天;中俄贸易概念;特高压;智能医疗;柔性直流输电;虚拟电厂;融资融券,33,301041
001210.SZ,8,2025年报预增;建筑节能;储能;京津冀一体化;数据中心;液冷服务器;工业互联网;新疆振兴,33,001210
002222.SZ,9,光纤概念;无人驾驶;海峡两岸;华为概念;虚拟现实;福建自贸区;国企改革;深股通;融资融券,33,002222
002709.SZ,15,钠离子电池;氟化工概念;动力电池回收;固态电池;锂电池概念;宁德时代概念;有机硅概念;PEEK材料;特斯拉概念;同花顺漂亮100;比亚迪概念;2025年报预增;回购增持再贷款概念;深股通;融资融券,33,002709
301236.SZ,61,华为欧拉;华为昇腾;华为盘古;华为鲲鹏;财税数字化;多模态AI;云计算;ERP概念;ChatGPT概念;AI智能体;信创;国产操作系统;数据安全;百度概念;AIGC概念;数据要素;阿里巴巴概念;鸿蒙概念;虚拟数字人;腾讯概念;区块链;算力租赁;抖音概念(字节概念);数字乡村;数字货币;元宇宙;DeepSeek概念;在线教育;互联网金融;中国AI 50;东数西算(算力);人工智能;数字经济;跨境支付(CIPS);车联网(车路协同);数字孪生;职业教育;华为概念;智能医疗;低空经济;工业互联网;英伟达概念;AI PC;京津冀一体化;机器人概念;无人驾驶;智能座舱;小米概念;人形机器人;5G;虚拟电厂;跨境电商;养老概念;芯片概念;长安汽车概念;换电概念;液冷服务器;AI应用;一带一路;深股通;融资融券,33,301236
300694.SZ,6,燃料电池;新能源汽车;机器人概念;2025年报预增;国企改革;人形机器人,33,300694
300661.SZ,14,存储芯片;共封装光学(CPO);汽车芯片;OLED;无线耳机;消费电子概念;芯片概念;汽车电子;传感器;专精特新;锂电池概念;人工智能;融资融券;深股通,33,300661
600301.SH,8,金属铅;金属锌;金属铜;小金属概念;西部大开发;DeepSeek概念;国企改革;沪股通,17,600301
688088.SH,28,多模态AI;AIGC概念;Sora概念(文生视频);虚拟数字人;元宇宙;抖音概念(字节概念);人脸识别;空间计算;同花顺新质50;虚拟现实;人工智能;安防;智慧城市;华为概念;机器视觉;智能座舱;MR(混合现实);智能穿戴;AI眼镜;小米概念;无人驾驶;芯片概念;消费电子概念;机器人概念;长安汽车概念;AI应用;沪股通;融资融券,17,688088
688302.SH,4,创新药;西部大开发;沪股通;融资融券,17,688302
300737.SZ,9,新型城镇化;光伏建筑一体化;商业航天;一带一路;海峡两岸;水利;核电;融资融券;深股通,33,300737
301162.SZ,11,虚拟电厂;碳交易;智能电网;风电;绿色电力;人工智能;光伏概念;储能;专精特新;深股通;融资融券,33,301162
600478.SH,19,动力电池回收;固态电池;锂电池概念;小金属概念;储能;氢能源;燃料电池;新能源汽车;两轮车;2025年报预增;军工;航空发动机;共享单车;数据中心;商业航天;军民融合;区块链;融资融券;沪股通,17,600478
300068.SZ,25,钠离子电池;两轮车;动力电池回收;华为数字能源;固态电池;虚拟电厂;锂电池概念;储能;燃料电池;低空经济;阿里巴巴概念;华为概念;比亚迪概念;氢能源;数据中心;抖音概念(字节概念);新能源汽车;风电;核电;5G;绿色电力;金属回收;小金属概念;深股通;融资融券,33,300068
300778.SZ,11,新型城镇化;水利;垃圾分类;粤港澳大湾区;智慧城市;低空经济;华为概念;地下管网;换电概念;乡村振兴;绿色电力,33,300778
002997.SZ,11,一体化压铸;华为汽车;小米汽车;比亚迪概念;新能源汽车;新型工业化;机器人概念;专精特新;人工智能;深股通;融资融券,33,002997
300479.SZ,40,电子身份证;财税数字化;国产操作系统;语音技术;数字货币;智慧政务;人脸识别;华为鲲鹏;移动支付;百度概念;云计算;智慧城市;网络安全;信创;数据要素;ChatGPT概念;数字经济;AI智能体;华为昇腾;车联网(车路协同);AIGC概念;安防;智慧灯杆;DeepSeek概念;人工智能;独角兽概念;东数西算(算力);华为概念;工业互联网;机器视觉;智能医疗;低空经济;高铁;机器人概念;专精特新;无人机;5G;AI应用;国企改革;融资融券,33,300479
002455.SZ,13,磷化工;石墨电极;金属回收;钠离子电池;固态电池;光刻胶;锂电池概念;动力电池回收;宁德时代概念;储能;新能源汽车;深股通;融资融券,33,002455
300929.SZ,12,医疗废物处理;污水处理;净水概念;雄安新区;水利;PPP概念;乡村振兴;专精特新;人工智能;储能;氢能源;融资融券,33,300929
600583.SH,16,天然气;氢能源;央企国企改革;沪股通;融资融券;国企改革;绿色电力;一带一路;海工装备;风电;京津冀一体化;高端装备;数字孪生;DeepSeek概念;机器人概念;数据中心,17,600583
301559.SZ,9,物联网;智能物流;一带一路;核电;人民币贬值受益;医疗器械概念;天然气;深股通;融资融券,33,301559
301525.SZ,11,汽车电子;专精特新;人形机器人;汽车热管理;新能源汽车;数据中心;机器人概念;空气能热泵;冷链物流;深股通;融资融券,33,301525
301167.SZ,15,新型城镇化;装配式建筑;房屋检测;建筑节能;地下管网;乡村振兴;智慧城市;换电概念;充电桩;光伏建筑一体化;国企改革;储能;虚拟电厂;可控核聚变;融资融券,33,301167
603330.SH,8,专精特新;光伏概念;比亚迪概念;POE胶膜;消费电子概念;华为概念;股权转让(并购重组);融资融券,17,603330
000758.SZ,16,金属铅;金属锌;金属铜;小金属概念;黄金概念;金属钴;金属回收;稀土永磁;回购增持再贷款概念;央企国企改革;一带一路;国企改革;人民币贬值受益;深股通;融资融券;中字头股票,33,000758
301487.SZ,12,钠离子电池;固态电池;动力电池回收;锂电池概念;宁德时代概念;比亚迪概念;新能源汽车;人形机器人;机器人概念;消费电子概念;深股通;融资融券,33,301487
300800.SZ,16,污水处理;水利;专精特新;雄安新区;PM2.5;乡村振兴;工业互联网;一带一路;人工智能;数字孪生;华为概念;碳中和;数字乡村;国产操作系统;AI智能体;AI应用,33,300800
300414.SZ,18,商业航天;军工;无人机;5G;液冷服务器;高铁;专精特新;华为概念;数据中心;新能源汽车;光刻机;光伏概念;高压快充;水利;风电;2025年报预增;西部大开发;融资融券,33,300414
002775.SZ,15,新型城镇化;土壤修复;PPP概念;雄安新区;乡村振兴;旅游概念;粤港澳大湾区;创投;国企改革;绿色电力;一带一路;虚拟电厂;雅下水电概念;充电桩;储能,33,002775
000629.SZ,10,小金属概念;钛白粉概念;钒电池;西部大开发;回购增持再贷款概念;国企改革;氢能源;储能;深股通;融资融券,33,000629
600888.SH,8,新疆振兴;石墨烯;西部大开发;一带一路;一体化压铸;军工;沪股通;融资融券,17,600888
603860.SH,9,乡村振兴;国企改革;专精特新;数字经济;人工智能;数字乡村;AI智能体;国资云;中字头股票,17,603860
002910.SZ,7,乳业;网红经济;生态农业;乡村振兴;宠物经济;国企改革;西部大开发,33,002910
603729.SH,8,文化传媒概念;抖音概念(字节概念);小红书概念;网红经济;数据要素;旅游概念;华为概念;上海自贸区,17,603729
002649.SZ,38,ChatGPT概念;华为盘古;智谱AI;AIGC概念;虚拟数字人;AI语料;阿里巴巴概念;抖音概念(字节概念);华为鲲鹏;数据要素;小红书概念;腾讯概念;百度概念;鸿蒙概念;华为昇腾;数据安全;信创;区块链;网络安全;数字货币;DeepSeek概念;数字乡村;跨境支付(CIPS);人工智能;数字经济;互联网金融;智慧城市;语音技术;虚拟现实;华为概念;物联网;工业互联网;AI应用;跨境电商;无人驾驶;虚拟电厂;深股通;融资融券,33,002649
300538.SZ,24,光刻胶;存储芯片;PCB概念;PET铜箔;消费电子概念;芯片概念;宁德时代概念;新能源汽车;小米概念;PEEK材料;智能穿戴;第三代半导体;机器人概念;5G;粤港澳大湾区;海峡两岸;无人机;华为概念;低空经济;储能;光伏概念;军工;创投;数字经济,33,300538
300670.SZ,9,电力物联网;智能电网;风电;储能;工业互联网;光伏建筑一体化;绿色电力;海工装备;碳纤维,33,300670
002863.SZ,14,一体化压铸;中俄贸易概念;长三角一体化;长安汽车概念;华为汽车;新能源汽车;一带一路;比亚迪概念;回购增持再贷款概念;机器人概念;两轮车;光伏概念;数字经济;融资融券,33,002863
600551.SH,11,文化传媒概念;在线教育;参股券商;托育服务;数字经济;创投;人工智能;国企改革;AI应用;沪股通;融资融券,17,600551
002167.SZ,11,小金属概念;稀土永磁;锂电池概念;固态电池;核电;牙科医疗;回购增持再贷款概念;氢能源;燃料电池;深股通;融资融券,33,002167
300488.SZ,11,航空发动机;工业母机;军民融合;减速器;专精特新;人形机器人;比亚迪概念;机器人概念;长三角一体化;共同富裕示范区;深股通,33,300488
002232.SZ,41,车联网(车路协同);网络安全;智慧城市;国资云;智慧政务;信创;数据安全;EDR概念;数字经济;华为鲲鹏;国产操作系统;数据要素;算力租赁;DeepSeek概念;京津冀一体化;AI智能体;百度概念;卫星导航;人工智能;元宇宙;阿里巴巴概念;MLOps概念;低空经济;ERP概念;华为概念;无人驾驶;虚拟现实;乡村振兴;工业互联网;数据中心;飞行汽车(eVTOL);国企改革;华为汽车;央企国企改革;一带一路;汽车电子;充电桩;新能源汽车;股权转让(并购重组);融资融券;深股通,33,002232
688207.SH,26,华为昇腾;MLOps概念;多模态AI;智慧政务;AI智能体;数据要素;元宇宙;人脸识别;空间计算;DeepSeek概念;人工智能;车联网(车路协同);智慧城市;虚拟现实;互联网金融;华为概念;AI PC;机器视觉;智能穿戴;无人机;无人驾驶;军工;机器人概念;体育产业;高铁;融资融券,17,688207
002418.SZ,16,液冷服务器;石墨烯;数据中心;汽车热管理;超级电容;锂电池概念;动力电池回收;新能源汽车;空气能热泵;东数西算(算力);无人驾驶;储能;充电桩;氢能源;算力租赁;家用电器,33,002418
002398.SZ,39,房屋检测;建筑节能;装配式建筑;新型城镇化;水利;地下管网;数字经济;光伏建筑一体化;人工智能;数字孪生;高铁;医疗器械概念;DeepSeek概念;海峡两岸;福建自贸区;ERP概念;碳中和;一带一路;AI智能体;AIGC概念;机器人概念;阿里巴巴概念;腾讯概念;华为鲲鹏;光伏概念;数据安全;水泥概念;华为欧拉;核电;3D打印;新能源汽车;储能;风电;华为昇腾;AI应用;数据中心;算力租赁;汽车电子;创新药,33,002398
688362.SH,11,先进封装;MCU芯片;芯片概念;消费电子概念;汽车电子;传感器;5G;专精特新;数字货币;沪股通;融资融券,17,688362
603598.SH,22,快手概念;短剧游戏;小红书概念;AIGC概念;AI应用;多模态AI;文化传媒概念;抖音概念(字节概念);虚拟数字人;拼多多概念;腾讯概念;百度概念;AI智能体;阿里巴巴概念;元宇宙;数据要素;鸿蒙概念;人工智能;DeepSeek概念;网红经济;华为概念;京津冀一体化,17,603598
301045.SZ,3,小米概念;华为概念;融资融券,33,301045
603020.SH,1,烟草,17,603020
688368.SH,12,汽车芯片;MCU芯片;芯片概念;英伟达概念;汽车电子;小米概念;无线充电;专精特新;机器人概念;股权转让(并购重组);沪股通;融资融券,17,688368
002272.SZ,25,液冷服务器;数据中心;特高压;军工;智能电网;核电;华为概念;传感器;高端装备;工业互联网;低空经济;光热发电;储能;机器人概念;风电;抽水蓄能;数字经济;水利;氢能源;碳中和;垃圾分类;超超临界发电;西部大开发;深股通;融资融券,33,002272
920932.BJ,27,AI应用;知识产权保护;华为盘古;人形机器人;智慧城市;ERP概念;工业互联网;储能;新型工业化;机器人概念;数字经济;换电概念;碳中和;钠离子电池;融资融券;华为鲲鹏;无人驾驶;机器视觉;智慧政务;专精特新;华为概念;DeepSeek概念;充电桩;人工智能;信创;物联网;5G,151,920932
002242.SZ,8,净水概念;家用电器;证金持股;智能家居;绿色电力;机器人概念;深股通;融资融券,33,002242
002188.SZ,4,物业管理;共同富裕示范区;养老概念;长三角一体化,33,002188
300557.SZ,14,光纤概念;可控核聚变;军工;核电;传感器;专精特新;小米概念;数据中心;安防;物联网;车联网(车路协同);央企国企改革;人工智能;国企改革,33,300557
688591.SH,20,MCU芯片;汽车芯片;星闪概念;国家大基金持股;无线耳机;WiFi 6;英伟达概念;芯片概念;智能穿戴;小米概念;5G;消费电子概念;鸿蒙概念;物联网;苹果概念;专精特新;智能家居;上海自贸区;沪股通;融资融券,17,688591
300465.SZ,24,数字货币;移动支付;蚂蚁集团概念;Web3.0;跨境支付(CIPS);ChatGPT概念;区块链;数据要素;AI智能体;信创;腾讯概念;数据安全;抖音概念(字节概念);DeepSeek概念;人工智能;文化传媒概念;物联网;华为概念;东数西算(算力);化债概念(AMC概念);数据中心;比亚迪概念;芯片概念;深股通,33,300465
688560.SH,12,BC电池;HJT电池;TOPCON电池;POE胶膜;光伏概念;固态电池;专精特新;锂电池概念;比亚迪概念;人民币贬值受益;回购增持再贷款概念;融资融券,17,688560
300369.SZ,29,数字水印;MLOps概念;华为欧拉;数据安全;华为鲲鹏;云计算;数据确权;网络安全;国产操作系统;智慧政务;信创;AI语料;腾讯概念;阿里巴巴概念;东数西算(算力);AI智能体;数据要素;区块链;车联网(车路协同);DeepSeek概念;人工智能;数据中心;华为概念;AI应用;独角兽概念;工业互联网;京津冀一体化;深股通;融资融券,33,300369
300612.SZ,31,小红书概念;快手概念;Web3.0;文化传媒概念;虚拟数字人;NFT概念;拼多多概念;AIGC概念;ChatGPT概念;多模态AI;抖音概念(字节概念);网红经济;AI智能体;元宇宙;智慧政务;腾讯概念;百度概念;阿里巴巴概念;区块链;数字乡村;数字经济;人工智能;DeepSeek概念;体育产业;京津冀一体化;AI应用;机器视觉;数据中心;乡村振兴;长安汽车概念;融资融券,33,300612
301083.SZ,13,新型城镇化;专精特新;人脸识别;安防;智慧城市;工业互联网;机器人概念;车联网(车路协同);人工智能;充电桩;数字经济;DeepSeek概念;融资融券,33,301083
300972.SZ,10,农业种植;乳业;土地流转;海峡两岸;2025年报预增;乡村振兴;IP经济(谷子经济);股权转让(并购重组);深股通;融资融券,33,300972
601168.SH,14,金属锌;金属铅;黄金概念;金属铜;金属镍;小金属概念;金属回收;盐湖提锂;钒电池;锂电池概念;西部大开发;国企改革;沪股通;融资融券,17,601168
600569.SH,6,特钢概念;国企改革;回购增持再贷款概念;股权转让(并购重组);沪股通;融资融券,17,600569
000665.SZ,23,在线教育;文化传媒概念;数据确权;元宇宙;国资云;智慧政务;数字乡村;数据要素;AI智能体;腾讯概念;短剧游戏;智慧城市;人工智能;云计算;算力租赁;虚拟现实;华为概念;物业管理;数据中心;国企改革;5G;深股通;融资融券,33,000665
688089.SH,8,维生素;合成生物;宠物经济;三胎概念;DeepSeek概念;绿色电力;AIGC概念;融资融券,17,688089
000998.SZ,12,转基因;玉米;粮食概念;农业种植;生态农业;俄乌冲突概念;乡村振兴;国企改革;基因测序;深股通;融资融券;鸿蒙概念,33,000998
300971.SZ,15,新型工业化;专精特新;工业母机;高端装备;新能源汽车;军工;机器视觉;军民融合;2025年报预增;商业航天;中俄贸易概念;海工装备;人工智能;军工信息化;融资融券,33,300971
600141.SH,19,草甘膦;磷化工;化肥;氟化工概念;消毒剂;有机硅概念;硅能源;锂电池概念;固态电池;回购增持再贷款概念;绿色电力;国企改革;中芯国际概念;乡村振兴;比亚迪概念;芯片概念;机器人概念;沪股通;融资融券,17,600141
301025.SZ,6,知识产权保护;文化传媒概念;IP经济(谷子经济);抖音概念(字节概念);华为概念;融资融券,33,301025
600706.SH,8,旅游概念;体育产业;露营经济;IP经济(谷子经济);职业教育;数字经济;国企改革;西部大开发,17,600706
603565.SH,8,高股息精选;航运概念;统一大市场;冷链物流;智能物流;数据要素;融资融券;沪股通,17,603565
603578.SH,3,共同富裕示范区;专精特新;光伏概念,17,603578
300925.SZ,36,华为盘古;ChatGPT概念;智谱AI;华为鲲鹏;AIGC概念;AI智能体;数字货币;华为昇腾;蚂蚁集团概念;信创;鸿蒙概念;数据要素;区块链;小红书概念;阿里巴巴概念;抖音概念(字节概念);快手概念;腾讯概念;互联网金融;DeepSeek概念;数字经济;人工智能;车联网(车路协同);东数西算(算力);华为概念;创投;AI应用;无人驾驶;智能座舱;无人机;粤港澳大湾区;比亚迪概念;特斯拉概念;一带一路;深股通;融资融券,33,300925
300049.SZ,12,家庭医生;AI应用;智能医疗;医疗器械概念;三胎概念;肝炎概念;医药电商;人民币贬值受益;参股保险;西部大开发;深股通;融资融券,33,300049
002114.SZ,8,金属锌;金属铅;金属铜;小金属概念;西部大开发;粮食概念;乡村振兴;绿色电力,33,002114
603617.SH,5,跨境电商;水利;人民币贬值受益;共同富裕示范区;机器人概念,17,603617
300329.SZ,6,托育服务;三胎概念;职业教育;文化传媒概念;在线教育;股权转让(并购重组),33,300329
000548.SZ,3,物业管理;乡村振兴;国企改革,33,000548
688277.SH,6,智能医疗;医疗器械概念;专精特新;机器人概念;沪股通;融资融券,17,688277
000713.SZ,14,玉米;转基因;粮食概念;农业种植;农村电商;化肥;草甘膦;俄乌冲突概念;乡村振兴;磷化工;国企改革;央企国企改革;股权转让(并购重组);融资融券,33,000713
688203.SH,5,可降解塑料;专精特新;国企改革;3D打印;融资融券,17,688203
688067.SH,10,医疗器械概念;三胎概念;辅助生殖;专精特新;智能医疗;幽门螺杆菌概念;机器视觉;人工智能;医药电商;融资融券,17,688067
301059.SZ,3,专精特新;有机硅概念;融资融券,33,301059
688215.SH,9,专精特新;2025年报预增;机器人概念;智能物流;数字孪生;东数西算(算力);人工智能;阿里巴巴概念;融资融券,17,688215
002721.SZ,17,黄金概念;小金属概念;互联网金融;数字货币;DeepSeek概念;区块链;AI智能体;移动支付;人工智能;数字经济;智慧政务;国企改革;阿里巴巴概念;AI应用;3D打印;深股通;摘帽,33,002721
002895.SZ,9,磷化工;化肥;盐湖提锂;西部大开发;参股银行;高股息精选;深股通;AI智能体;融资融券,33,002895
001283.SZ,23,钠离子电池;固态电池;动力电池回收;两轮车;锂电池概念;新型烟草(电子烟);储能;人形机器人;比亚迪概念;新能源汽车;小米概念;AI PC;粤港澳大湾区;机器人概念;人民币贬值受益;2025年报预增;AI眼镜;消费电子概念;智能穿戴;回购增持再贷款概念;数据中心;人工智能;深股通,33,001283
002986.SZ,4,可降解塑料;回购增持再贷款概念;粤港澳大湾区;深股通,33,002986
688343.SH,29,华为昇腾;算力租赁;华为鲲鹏;多模态AI;信创;东数西算(算力);智慧政务;ChatGPT概念;阿里巴巴概念;鸿蒙概念;AI智能体;人脸识别;车联网(车路协同);AI眼镜;华为概念;智能穿戴;芯片概念;安防;智能座舱;机器视觉;DeepSeek概念;智慧城市;消费电子概念;人工智能;人形机器人;低空经济;机器人概念;沪股通;融资融券,17,688343
300908.SZ,4,农业种植;乡村振兴;海峡两岸;融资融券,33,300908
688132.SH,14,AI智能体;DeepSeek概念;信创;网络安全;军工信息化;数据安全;虚拟数字人;云计算;军工;专精特新;军民融合;数据中心;AI应用;融资融券,17,688132
300399.SZ,12,互联网保险;互联网金融;百度概念;ChatGPT概念;数据要素;信创;阿里巴巴概念;AI应用;创投;国企改革;5G;深股通,33,300399
688695.SH,18,数据要素;人工智能;DeepSeek概念;智慧政务;信创;网络安全;华为鲲鹏;物联网;云计算;财税数字化;车联网(车路协同);华为概念;跨境支付(CIPS);机器人概念;量子科技;军工;军工信息化;融资融券,17,688695
002912.SZ,31,数据安全;网络安全;国产操作系统;信创;智慧政务;云计算;华为鲲鹏;数据要素;车联网(车路协同);AI智能体;财税数字化;ChatGPT概念;多模态AI;人工智能;东数西算(算力);数字孪生;数字经济;DeepSeek概念;华为概念;职业教育;工业互联网;数据中心;智能医疗;低空经济;无人机;专精特新;粤港澳大湾区;AI应用;深圳国企改革;国企改革;融资融券,33,002912
300503.SZ,22,商业航天;减速器;人形机器人;传感器;新型工业化;工业母机;富士康概念;比亚迪概念;机器人概念;高端装备;芯片概念;新能源汽车;专精特新;人工智能;海峡两岸;PCB概念;光伏概念;粤港澳大湾区;燃料电池;2025年报预增;氢能源;深股通,33,300503
301567.SZ,11,专精特新;小米概念;机器人概念;汽车电子;消费电子概念;智能穿戴;虚拟现实;安防;AI眼镜;无人机;融资融券,33,301567
