股票代码,code,所属概念,所属概念数量,market_code
688593.SH,688593,电子纸;芯片概念;AI眼镜;智能穿戴;OLED;沪股通;融资融券,7,17
601608.SH,601608,国产航母;大飞机;商业航天;海工装备;军工;高端装备;核电;光伏概念;风电;减速器;新型工业化;一带一路;工业互联网;机器人概念;人形机器人;华为概念;一体化压铸;国企改革;人工智能;F5G概念;同花顺中特估100;融资融券;沪股通;中字头股票,24,17
002360.SZ,002360,可降解塑料;民爆概念;光伏概念,3,33
002581.SZ,002581,CRO概念;重组蛋白;肝炎概念;生物疫苗;创新药;ST板块,6,33
605006.SH,605006,PCB概念;风电;国企改革,3,17
003043.SZ,003043,光刻机;芯片概念;专精特新;高端装备;储能;智能电网;固态电池;智能物流;高铁;数字经济;医疗器械概念;深股通;股权转让(并购重组),13,33
600157.SH,600157,煤炭概念;煤化工概念;钒电池;页岩气;绿色电力;超超临界发电;碳交易;小金属概念;参股保险;核电;储能;物联网;融资融券;沪股通,14,17
600638.SH,600638,租售同权;物业管理;国企改革;信托概念;互联网金融;期货概念,6,17
300204.SZ,300204,细胞免疫治疗;重组蛋白;创新药;辅助生殖;眼科医疗;深股通;融资融券,7,33
688530.SH,688530,PET铜箔;钙钛矿电池;HJT电池;光伏概念;芯片概念;专精特新;融资融券,7,17
301319.SZ,301319,低空经济;芯片概念;先进封装;华为概念;富士康概念;专精特新;比亚迪概念;新能源汽车;粤港澳大湾区;光伏概念;融资融券,11,33
301446.SZ,301446,风电;农机;数据中心;融资融券,4,33
688375.SH,688375,军工信息化;卫星导航;商业航天;6G概念;军民融合;DeepSeek概念;军工;无人机;毫米波雷达;5G;芯片概念;央企国企改革;第三代半导体;国企改革;回购增持再贷款概念;先进封装;沪股通;融资融券,18,17
601992.SH,601992,房屋检测;京津冀一体化;商业航天;水泥概念;雄安新区;创投;装配式建筑;一带一路;可控核聚变;物业管理;国企改革;固废处理;储能;沪股通;融资融券,15,17
001333.SZ,001333,共同富裕示范区;长三角一体化,2,33
002506.SZ,002506,钙钛矿电池;HJT电池;TOPCON电池;BC电池;光伏建筑一体化;钒电池;光热发电;光伏概念;碳中和;蚂蚁集团概念;碳交易;雄安新区;数字经济;储能;华为数字能源;区块链;长三角一体化;华为概念;空气能热泵;深股通;融资融券,21,33
002520.SZ,002520,成飞概念;减速器;航空发动机;大飞机;工业母机;人形机器人;军民融合;高端装备;新型工业化;机器人概念;新能源汽车;风电;一带一路;数字经济;人民币贬值受益;共同富裕示范区;深股通;融资融券,18,33
688507.SH,688507,商业航天;低空经济;军工;数字孪生;传感器;人工智能;机器人概念;人形机器人;在线教育;海工装备;AI应用;股权转让(并购重组);沪股通;融资融券,14,17
601388.SH,601388,金属回收;汽车拆解概念;固废处理;2025年报预增;人民币贬值受益;海峡两岸;融资融券;沪股通,8,17
688320.SH,688320,人形机器人;工业母机;新型工业化;传感器;机器人概念;比亚迪概念;富士康概念;工业互联网;芯片概念;专精特新;华为概念;人工智能;宁德时代概念;锂电池概念;沪股通;融资融券,16,17
601515.SH,601515,创投;烟草;新型烟草(电子烟);比亚迪概念;PVDF概念;PET铜箔;宁德时代概念;固态电池;锂电池概念;国企改革;钠离子电池;医疗器械概念;沪股通;融资融券;股权转让(并购重组),15,17
600800.SH,600800,环氧丙烷;丙烯酸;天津自贸区;国企改革;氢能源;融资融券;芯片概念,7,17
002091.SZ,002091,有机硅概念;固态电池;锂电池概念;宁德时代概念;超级电容;回购增持再贷款概念;一带一路;国企改革;新能源汽车;人民币贬值受益;参股保险;跨境电商;深股通;融资融券,14,33
600980.SH,600980,稀土永磁;金属钴;小金属概念;央企国企改革;国企改革;3D打印;机器人概念,7,17
000630.SZ,000630,黄金概念;金属铜;金属镍;小金属概念;锂电池概念;国企改革;深股通;融资融券;5G;PCB概念;新能源汽车,11,33
688082.SH,688082,中芯国际概念;存储芯片;先进封装;第三代半导体;芯片概念;沪股通;融资融券,7,17
603863.SH,603863,粤港澳大湾区,1,17
300802.SZ,300802,PCB概念;汽车电子;MiniLED;小米概念;苹果概念;机器视觉;比亚迪概念;先进封装;芯片概念;无人机;特斯拉概念;华为概念;高端装备;创投;人工智能;储能;商业航天;光伏概念;AI应用;消费电子概念;深股通,21,33
002785.SZ,002785,盐湖提锂;锂电池概念;俄乌冲突概念;一带一路;海峡两岸;中俄贸易概念;福建自贸区;小金属概念;深股通,9,33
300003.SZ,300003,脑机接口;血氧仪;牙科医疗;智能医疗;医美概念;医疗器械概念;猴痘概念;AIGC概念;2025年报预增;养老概念;人工智能;民营医院;减肥药;肝炎概念;创新药;医药电商;流感;京津冀一体化;仿制药一致性评价;智能穿戴;参股保险;深股通;融资融券,23,33
600533.SH,600533,物业管理;参股银行;雄安新区;国企改革;长三角一体化;互联网金融;独角兽概念;融资融券,8,17
300130.SZ,300130,数字货币;移动支付;跨境支付(CIPS);电子身份证;蚂蚁集团概念;智慧政务;区块链;人脸识别;鸿蒙概念;AI智能体;数字经济;DeepSeek概念;多模态AI;腾讯概念;人工智能;AIGC概念;虚拟数字人;安防;AI语料;物联网;跨境电商;参股保险;汽车电子;储能;AI应用;2025年报预增;深股通;融资融券,28,33
605177.SH,605177,合成生物;仿制药一致性评价;阿尔茨海默概念,3,17
600128.SH,600128,宠物经济;跨境电商;国企改革;创投;化肥;煤炭概念;期货概念;知识产权保护,8,17
301317.SZ,301317,数据中心;2025年报预增;专精特新;新能源汽车;空气能热泵;中俄贸易概念;共同富裕示范区;人工智能;污水处理;深股通;融资融券,11,33
300399.SZ,300399,互联网保险;互联网金融;信创;百度概念;ChatGPT概念;数据要素;阿里巴巴概念;创投;5G;国企改革;AI应用;2025年报预增;深股通,13,33
688337.SH,688337,量子科技;芯片概念;DeepSeek概念;跨境电商;沪股通;融资融券,6,17
600929.SH,600929,国企改革;回购增持再贷款概念;储能;钠离子电池;固态电池;AI智能体;消费电子概念;沪股通;融资融券,9,17
001331.SZ,001331,天然气;股权转让(并购重组),2,33
301123.SZ,301123,共封装光学(CPO);铜缆高速连接;液冷服务器;PCB概念;宁德时代概念;新型烟草(电子烟);消费电子概念;汽车电子;锂电池概念;比亚迪概念;人形机器人;小米概念;新能源汽车;储能;机器人概念;深股通;融资融券,17,33
600608.SH,600608,ST板块;国企改革,2,22
300078.SZ,300078,家庭医生;阿里巴巴概念;数据要素;百度概念;区块链;无人零售;人工智能;养老概念;电子纸;智慧城市;辅助生殖;食品安全;共同富裕示范区;安防;物联网;机器人概念;人民币贬值受益;芯片概念;股权转让(并购重组);融资融券,20,33
300373.SZ,300373,汽车芯片;中芯国际概念;第三代半导体;英伟达概念;芯片概念;AI眼镜;小米概念;5G;小米汽车;人形机器人;比亚迪概念;无人机;新能源汽车;宁德时代概念;特斯拉概念;回购增持再贷款概念;华为汽车;高压快充;低空经济;华为概念;充电桩;固态电池;光伏概念;储能;深股通;融资融券,26,33
300803.SZ,300803,互联网金融;参股券商;AI应用;融资融券;深股通,5,33
300189.SZ,300189,海南自贸区;转基因;玉米;粮食概念;土地流转;生态农业;农业种植;乡村振兴;合成生物;融资融券,10,33
300254.SZ,300254,医药电商;流感;肝炎概念;维生素;创新药;仿制药一致性评价;基因测序;三胎概念;智能医疗;养老概念;医疗器械概念,11,33
605598.SH,605598,商业航天;卫星导航;钙钛矿电池;无人机;土壤修复;一带一路;人民币贬值受益;沪股通,8,17
300758.SZ,300758,光刻胶;AI应用;钙钛矿电池;染料;钠离子电池;光伏概念;芯片概念;专精特新;深股通,9,33
600282.SH,600282,特钢概念;煤化工概念;商业航天;可燃冰;C2M概念;国企改革;海工装备;数据要素;数字经济;创投;核电;一带一路;工业互联网;人工智能;机器人概念;污水处理;人形机器人;融资融券;沪股通,19,17
601212.SH,601212,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;超导概念;锂电池概念;西部大开发;沪股通;可控核聚变;融资融券,12,17
600222.SH,600222,流感;创新药;CRO概念;三胎概念;农业种植;养老概念;参股银行;乡村振兴;国企改革;融资融券;股权转让(并购重组),11,17
300177.SZ,300177,卫星导航;时空大数据;车联网(车路协同);低空经济;无人机;智慧城市;无人驾驶;飞行汽车(eVTOL);数字孪生;虚拟现实;DeepSeek概念;百度概念;华为概念;智能物流;3D打印;海工装备;机器人概念;创投;水利;高铁;5G;旅游概念;人形机器人;汽车电子;粤港澳大湾区;农机;专精特新;芯片概念;一带一路;深股通;融资融券,31,33
301565.SZ,301565,固态电池;宁德时代概念;福建自贸区;海峡两岸;锂电池概念;消费电子概念;专精特新;可降解塑料;无人机;低空经济;食品安全;合成生物;深股通;融资融券,14,33
603919.SH,603919,白酒概念;啤酒概念;西部大开发;回购增持再贷款概念;沪股通;融资融券,6,17
002173.SZ,002173,高压氧舱;脑机接口;华为昇腾;智能医疗;人工智能;DeepSeek概念;养老概念;医疗器械概念;医美概念;民营医院;眼科医疗;三胎概念;共同富裕示范区;深股通;融资融券,15,33
300697.SZ,300697,金属铜;国企改革;石墨烯;氢能源;高铁;新能源汽车;深股通,7,33
002488.SZ,002488,独角兽概念;机器人概念;比亚迪概念;人形机器人;长安汽车概念;新能源汽车;深股通;融资融券,8,33
603129.SH,603129,同花顺出海50;两轮车;人民币贬值受益;共同富裕示范区;体育产业;工业互联网;车联网(车路协同);融资融券;沪股通,9,17
603871.SH,603871,统一大市场;冷链物流;PPP概念;一带一路;中俄贸易概念;智能物流;沪股通;融资融券,8,17
920689.BJ,920689,高端装备;高铁;海工装备;风电;融资融券;核电;数据中心;专精特新,8,151
000031.SZ,000031,物业管理;新型城镇化;国企改革;证金持股;央企国企改革;粤港澳大湾区;深股通;融资融券,8,33
301338.SZ,301338,先进封装;第三代半导体;共封装光学(CPO);富士康概念;PCB概念;苹果概念;MiniLED;工业母机;华为手机;汽车芯片;芯片概念;消费电子概念;比亚迪概念;锂电池概念;小米概念;新型工业化;高端装备;专精特新;机器视觉;2025年报预增;工业互联网;华为概念;军工;深股通;融资融券,25,33
002254.SZ,002254,高铁;锂电池概念;氢能源;固态电池;军工;无人机;国企改革;军民融合;机器人概念;智能穿戴;新能源汽车;深股通;融资融券,13,33
000402.SZ,000402,物业管理;特色小镇;参股券商;证金持股;装配式建筑;国企改革;碳中和;碳交易;京津冀一体化;深股通;融资融券,11,33
920351.BJ,920351,融资融券;一带一路;中韩自贸区;跨境电商;航运概念;统一大市场,6,151
300995.SZ,300995,人形机器人;碳纤维;小米汽车;小米概念;比亚迪概念;新能源汽车;粤港澳大湾区;创投;一带一路;2025年报预增;三胎概念;融资融券,12,33
600742.SH,600742,华为汽车;长安汽车概念;新能源汽车;国企改革;特斯拉概念;比亚迪概念;参股保险;机器人概念;传感器;无人驾驶;小米概念;低空经济;机器视觉;智能座舱;芯片概念;沪股通;融资融券,17,17
600309.SH,600309,环氧丙烷;煤化工概念;POE胶膜;丙烯酸;可降解塑料;锂电池概念;绿色电力;证金持股;国企改革;同花顺出海50;同花顺漂亮100;碳纤维;沪股通;融资融券;低空经济;AIGC概念,16,17
603179.SH,603179,特斯拉概念;新能源汽车;机器人概念;比亚迪概念;沪股通;融资融券,6,17
002529.SZ,002529,ST板块;新能源汽车;股权转让(并购重组);光伏概念;高端装备;HJT电池;3D打印;宁德时代概念,8,33
002482.SZ,002482,建筑节能;深圳国企改革;装配式建筑;光伏建筑一体化;新型城镇化;国企改革;体育产业;粤港澳大湾区;智能家居;DeepSeek概念;深股通,11,33
688233.SH,688233,存储芯片;芯片概念;专精特新;2025年报预增;沪股通;融资融券,6,17
601567.SH,601567,智能电网;风电;电力物联网;光伏概念;充电桩;高压氧舱;储能;一带一路;数据中心;工业互联网;参股银行;脑机接口;民营医院;AI应用;人工智能;三胎概念;养老概念;智能医疗;沪股通;融资融券,20,17
300682.SZ,300682,蚂蚁集团概念;AI智能体;电力物联网;AI应用;阿里巴巴概念;数据要素;华为鲲鹏;区块链;DeepSeek概念;智能电网;人工智能;数字经济;虚拟电厂;华为概念;光伏概念;物联网;工业互联网;车联网(车路协同);碳中和;充电桩;绿色电力;新能源汽车;融资融券;深股通,24,33
300376.SZ,300376,ETC;东数西算(算力);数字乡村;人工智能;电力物联网;智慧城市;股权转让(并购重组);换电概念;数据中心;华为概念;虚拟电厂;智能电网;充电桩;商业航天;5G;军工;空气能热泵;军民融合;粤港澳大湾区;柔性直流输电;高压快充;液冷服务器;储能;抽水蓄能;新能源汽车;特斯拉概念;比亚迪概念;风电;芯片概念;光伏建筑一体化;第三代半导体;绿色电力;钠离子电池;新疆振兴;锂电池概念;深股通;摘帽,37,33
920402.BJ,920402,融资融券;碳中和;国企改革;氢能源;光伏概念;硅能源;芯片概念,7,151
688408.SH,688408,光伏概念;光热发电;光伏建筑一体化;储能;机器人概念;一带一路;人民币贬值受益;沪股通;融资融券,9,17
688091.SH,688091,创新药;2025年报预增;沪股通;融资融券,4,17
600079.SH,600079,芬太尼;肝炎概念;创新药;流感;民营医院;辅助生殖;生物疫苗;ST板块;医疗器械概念;国企改革;央企国企改革;人工智能,12,22
002149.SZ,002149,商业航天;航空发动机;卫星导航;可控核聚变;军工;超导概念;海工装备;核电;柔性屏(折叠屏);5G;专精特新;西部大开发;氢能源;燃料电池;国企改革;医疗器械概念;俄乌冲突概念;小金属概念;深股通;融资融券,20,33
605199.SH,605199,海南自贸区;ST板块;仿制药一致性评价;幽门螺杆菌概念;医药电商;流感;肝炎概念;三胎概念;创新药;专精特新,10,22
688303.SH,688303,硅能源;光伏概念;有机硅概念;芯片概念;西部大开发;新疆振兴;沪股通;融资融券,8,17
301069.SZ,301069,锂电池概念;PEEK材料;3D打印;2025年报预增;深股通;融资融券,6,33
688499.SH,688499,PET铜箔;固态电池;宁德时代概念;钠离子电池;HJT电池;钙钛矿电池;华为数字能源;比亚迪概念;锂电池概念;消费电子概念;新型工业化;光伏概念;人形机器人;华为概念;储能;高端装备;机器人概念;燃料电池;物联网;数字孪生;人工智能;氢能源;智能物流;回购增持再贷款概念;沪股通;融资融券,26,17
300910.SZ,300910,人民币贬值受益;深股通;融资融券,3,33
301323.SZ,301323,稀土永磁;锂电池概念;芯片概念;消费电子概念;专精特新;传感器;核污染防治;新能源汽车;机器人概念;华为概念;人民币贬值受益;俄乌冲突概念;一带一路;建筑节能;安防;粤港澳大湾区;医疗器械概念;智能家居;中俄贸易概念;食品安全;三胎概念;深股通;股权转让(并购重组);融资融券,24,33
300270.SZ,300270,光纤概念;百度概念;华为昇腾;东数西算(算力);机器视觉;卫星导航;华为鲲鹏;华为概念;安防;无人驾驶;人工智能;人脸识别;车联网(车路协同);机器人概念;物联网;智慧灯杆;工业互联网;智慧城市;共同富裕示范区;冷链物流;股权转让(并购重组),21,33
688296.SH,688296,人工智能;数字孪生;数据要素;DeepSeek概念;物联网;华为概念;数据中心;地下管网;水利;专精特新;污水处理;净水概念;回购增持再贷款概念;融资融券,14,17
605118.SH,605118,人工智能;虚拟现实;无人机;安防;海峡两岸;机器视觉;机器人概念;专精特新;AI眼镜;富士康概念;福建自贸区;消费电子概念;人民币贬值受益;智能座舱;沪股通,15,17
300266.SZ,300266,股权转让(并购重组);碳交易;生态农业;水利;固废处理;土壤修复;PPP概念;污水处理;国企改革;共同富裕示范区;虚拟电厂;乡村振兴;储能;固态电池;东数西算(算力);阿里巴巴概念;融资融券,17,33
002156.SZ,002156,国家大基金持股;存储芯片;先进封装;汽车芯片;第三代半导体;芯片概念;共封装光学(CPO);华为海思概念股;AI PC;消费电子概念;汽车电子;智能座舱;智能穿戴;2025年报预增;传感器;特斯拉概念;比亚迪概念;毫米波雷达;同花顺新质50;人民币贬值受益;物联网;海峡两岸;创投;深股通;融资融券,25,33
300223.SZ,300223,存储芯片;MCU芯片;汽车芯片;AI眼镜;OLED;芯片概念;消费电子概念;MiniLED;汽车电子;智能音箱;小米概念;智能座舱;传感器;3D打印;机器人概念;无人驾驶;机器视觉;人民币贬值受益;智能家居;安防;物联网;家用电器;人脸识别;人工智能;京津冀一体化;鸿蒙概念;抖音概念(字节概念);区块链;深股通;融资融券,30,33
688662.SH,688662,共封装光学(CPO);芯片概念;5G;储能;融资融券,5,17
601118.SH,601118,海南自贸区;赛马概念;农业种植;可降解塑料;碳中和;乡村振兴;国企改革;军工;融资融券;沪股通,10,17
300237.SZ,300237,股权转让(并购重组);特色小镇;ST板块;旅游概念;新型城镇化;PPP概念;农业种植;垃圾分类;长安汽车概念;固废处理;乡村振兴;国企改革;汽车热管理;充电桩;新能源汽车;比亚迪概念;储能;氢能源;军工,19,33
002082.SZ,002082,阿尔茨海默概念;医疗器械概念;共同富裕示范区;仿制药一致性评价;肝炎概念;创新药;流感;医药电商;生物疫苗;一带一路;深股通,11,33
601162.SH,601162,期货概念;物业管理;国企改革;沪股通;融资融券,5,17
300122.SZ,300122,猴痘概念;生物疫苗;流感;肝炎概念;重组蛋白;创新药;减肥药;合成生物;同花顺漂亮100;西部大开发;深股通;融资融券;创投,13,33
002572.SZ,002572,参股券商;养老概念;深股通;智能家居;虚拟现实;融资融券,6,33
301196.SZ,301196,光纤概念;PEEK材料;消费电子概念;新型烟草(电子烟);新能源汽车;机器人概念;专精特新;储能;家用电器;海峡两岸;福建自贸区;医疗器械概念;养老概念;三胎概念;宠物经济;深股通;融资融券,17,33
688155.SH,688155,固态电池;2025年报预增;宁德时代概念;专精特新;新型工业化;锂电池概念;新能源汽车;机器人概念;高端装备;燃料电池;人工智能;DeepSeek概念;一带一路;沪股通;融资融券,15,17
300497.SZ,300497,有机硅概念;锂电池概念;化肥;人造肉;光刻胶;合成生物;猴痘概念;CRO概念;肝炎概念;创新药;融资融券;深股通,12,33
002539.SZ,002539,磷化工;化肥;硅能源;生态农业;锂电池概念;玉米;农业种植;西部大开发;乡村振兴;电子竞技;融资融券;深股通,12,33
300070.SZ,300070,PPP概念;地下管网;参股银行;雄安新区;新型城镇化;国企改革;污水处理;乡村振兴;净水概念;一带一路;央企国企改革;创投;家用电器;盐湖提锂;人工智能;深股通;融资融券,17,33
000155.SZ,000155,盐湖提锂;小金属概念;磷化工;锂电池概念;储能;绿色电力;固废处理;风电;回购增持再贷款概念;西部大开发;国企改革;深股通;融资融券,13,33
600643.SH,600643,信托概念;互联网金融;参股券商;物业管理;沪股通;融资融券,6,17
688652.SH,688652,中芯国际概念;存储芯片;芯片概念;专精特新;高端装备;京津冀一体化;国企改革;沪股通;融资融券,9,17
603979.SH,603979,金属铜;黄金概念;磷化工;同花顺出海50;一带一路;人民币贬值受益;沪股通;融资融券,8,17
688353.SH,688353,钠离子电池;有机硅概念;固态电池;宁德时代概念;锂电池概念;比亚迪概念;专精特新;沪股通;融资融券,9,17
002237.SZ,002237,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;磷化工;化肥;国企改革;深股通;融资融券,11,33
600360.SH,600360,充电桩;新能源汽车;第三代半导体;ST板块;汽车电子;芯片概念;小米概念;先进封装;汽车芯片;军工;华为概念;国企改革;股权转让(并购重组),13,22
301588.SZ,301588,粤港澳大湾区;人民币贬值受益;融资融券,3,33
600383.SH,600383,物业管理;沪股通;融资融券,3,17
600456.SH,600456,航空发动机;大飞机;国产航母;商业航天;军工;无人机;海工装备;核电;3D打印;小金属概念;燃料电池;回购增持再贷款概念;西部大开发;国企改革;苹果概念;融资融券;沪股通,17,17
603813.SH,603813,ST板块;冷链物流;统一大市场;智能物流;数字经济;粤港澳大湾区;燃料电池;氢能源,8,22
300855.SZ,300855,航空发动机;大飞机;特钢概念;军民融合;核电;军工;专精特新;融资融券;深股通,9,33
688383.SH,688383,先进封装;芯片概念;MiniLED;人形机器人;商业航天;机器人概念;锂电池概念;华为概念;沪股通;融资融券,10,17
300481.SZ,300481,OLED;风电;氢能源;专精特新;深股通;融资融券,6,33
002937.SZ,002937,液冷服务器;PEEK材料;5G;消费电子概念;汽车电子;新能源汽车;特斯拉概念;毫米波雷达;宁德时代概念;无人驾驶;工业互联网;虚拟现实;一带一路;人民币贬值受益;智能家居;深股通;融资融券,17,33
300087.SZ,300087,转基因;大豆;玉米;粮食概念;农业种植;俄乌冲突概念;央企国企改革;乡村振兴;国企改革;一带一路;融资融券;深股通,12,33
002496.SZ,002496,ST板块;医疗废物处理;氢能源;生态农业;乡村振兴;天然气;农村电商;粮食概念,8,33
300502.SZ,300502,共封装光学(CPO);中国AI 50;5G;数据中心;芯片概念;深股通;2025年报预增;人民币贬值受益;西部大开发;融资融券,10,33
300267.SZ,300267,AI应用;流感;幽门螺杆菌概念;维生素;医药电商;仿制药一致性评价;智能医疗;合成生物;小金属概念;医疗器械概念;消毒剂;人工智能;锂电池概念;深股通;融资融券,15,33
601179.SH,601179,柔性直流输电;特高压;智能电网;可控核聚变;风电;核电;中字头股票;光伏概念;超级电容;储能;西部大开发;高端装备;数据中心;水利;央企国企改革;国企改革;芯片概念;量子科技;同花顺中特估100;东数西算(算力);融资融券;沪股通,22,17
600501.SH,600501,商业航天;卫星导航;大飞机;可控核聚变;成飞概念;军工;核污染防治;核电;高端装备;无人驾驶;新型工业化;光热发电;机器人概念;央企国企改革;新能源汽车;长三角一体化;氢能源;充电桩;特高压;国企改革;垃圾分类;天然气;煤化工概念;沪股通;融资融券,25,17
002145.SZ,002145,钛白粉概念;磷化工;钒电池;动力电池回收;锂电池概念;回购增持再贷款概念;西部大开发;宁德时代概念;深股通;融资融券,10,33
300619.SZ,300619,小金属概念;硅能源;钠离子电池;有机硅概念;固态电池;锂电池概念;光伏概念;新能源汽车;高端装备;粤港澳大湾区;深股通,11,33
688559.SH,688559,BC电池;钙钛矿电池;TOPCON电池;富士康概念;MicroLED概念;第三代半导体;电子纸;苹果概念;PCB概念;固态电池;光伏概念;3D打印;比亚迪概念;宁德时代概念;飞行汽车(eVTOL);华为概念;特斯拉概念;新型工业化;锂电池概念;新能源汽车;医疗器械概念;医美概念;沪股通;融资融券,24,17
603279.SH,603279,污水处理;融资融券;沪股通,3,17
688785.SH,688785,科创次新股;中芯国际概念;芯片概念;注册制次新股;新股与次新股;融资融券,6,17
600712.SH,600712,免税店;农村电商;乡村振兴;职业教育;国企改革;西部大开发;股权转让(并购重组),7,17
603217.SH,603217,固态电池;可降解塑料;专精特新;合成生物,4,17
600318.SH,600318,化债概念(AMC概念);乡村振兴;数字经济;供销社;融资融券;沪股通;股权转让(并购重组),7,17
688639.SH,688639,维生素;合成生物;可降解塑料;同花顺新质50;融资融券;沪股通,6,17
300859.SZ,300859,冰雪产业;旅游概念;西部大开发;国企改革;新疆振兴;低空经济;飞行汽车(eVTOL);深股通;股权转让(并购重组),9,33
300199.SZ,300199,CRO概念;细胞免疫治疗;减肥药;猴痘概念;辅助生殖;创新药;肝炎概念;智能医疗;幽门螺杆菌概念;流感;医疗器械概念;仿制药一致性评价;合成生物;工业大麻;人工智能;三胎概念;区块链;粤港澳大湾区;人民币贬值受益;华为概念;创投;深股通;融资融券,23,33
300105.SZ,300105,超超临界发电;风电;碳中和;储能;光伏概念;雄安新区;固废处理;国企改革;PM2.5;央企国企改革;2025三季报预增;华为概念;DeepSeek概念,13,33
603115.SH,603115,储能;汽车电子;专精特新,3,17
300763.SZ,300763,光伏概念;储能;芯片概念;绿色电力;融资融券;深股通,6,33
002457.SZ,002457,地下管网;新型城镇化;参股银行;新疆振兴;乡村振兴;水利;风电;西部大开发;京津冀一体化,9,33
301216.SZ,301216,光伏概念;3D打印;PEEK材料;一带一路;机器人概念;回购增持再贷款概念;减速器;人形机器人;深股通;融资融券,10,33
603398.SH,603398,ST板块;医疗器械概念;三胎概念;机器人概念;区块链;IP经济(谷子经济);人工智能;光伏概念;TOPCON电池,9,22
603869.SH,603869,ST板块;物联网;华为概念;西部大开发;智慧城市;ETC;人工智能;数字经济;算力租赁;DeepSeek概念;多模态AI,11,22
000672.SZ,000672,水泥概念;一带一路;绿色电力;西部大开发;储能;创投;深股通;融资融券,8,33
300176.SZ,300176,粤港澳大湾区;低空经济;人民币贬值受益;新能源汽车;特斯拉概念;宁德时代概念;2025年报预增;股权转让(并购重组),8,33
002624.SZ,002624,云游戏;短剧游戏;手机游戏;网络游戏;电子竞技;文化传媒概念;虚拟数字人;NFT概念;AIGC概念;元宇宙;IP经济(谷子经济);AI智能体;虚拟现实;鸿蒙概念;区块链;英伟达概念;人工智能;华为概念;AI应用;深股通;融资融券,21,33
300121.SZ,300121,有机硅概念;先进封装;硅能源;第三代半导体;芯片概念;回购增持再贷款概念;数字经济;深股通,8,33
002536.SZ,002536,液冷服务器;汽车热管理;芯片概念;汽车电子;数据中心;小米汽车;特斯拉概念;新能源汽车;长安汽车概念;储能;机器人概念;充电桩;燃料电池;华为概念;人民币贬值受益;海峡两岸;无人机;一带一路;低空经济;深股通;融资融券,21,33
603685.SH,603685,长三角一体化;家用电器;PCB概念;绿色电力;风电;东数西算(算力);2025年报预增;虚拟电厂,8,17
600527.SH,600527,互联网金融,1,17
002556.SZ,002556,煤化工概念;化肥;土地流转;玉米;粮食概念;农村电商;磷化工;农业种植;供销社;染料;民爆概念;统一大市场;乡村振兴;装配式建筑;建筑节能;生物质能发电;维生素;毛发医疗;创投;互联网金融;数字乡村;光伏概念;医美概念;融资融券;深股通,25,33
002631.SZ,002631,石墨烯;C2M概念;长三角一体化;核污染防治;柔性屏(折叠屏);工业互联网;智能家居;融资融券,8,33
300460.SZ,300460,华为海思概念股;星闪概念;元宇宙;抖音概念(字节概念);安防;华为概念;AI眼镜;DeepSeek概念;汽车电子;小米概念;苹果概念;卫星导航;无人机;数据中心;机器人概念;ST板块;比亚迪概念;商业航天;芯片概念;共封装光学(CPO);专精特新;海工装备,22,33
600503.SH,600503,参股银行;创新药;石墨烯;机器人概念;融资融券,5,17
603977.SH,603977,民爆概念;军民融合;军工;航空发动机;商业航天;军工信息化;无人机;高铁;3D打印;雅下水电概念;芯片概念;工业互联网;国企改革;数字经济;智慧政务;虚拟现实;DeepSeek概念;元宇宙;小金属概念;沪股通,20,17
605068.SH,605068,新能源汽车;比亚迪概念;回购增持再贷款概念;机器人概念;人形机器人;华为汽车;长安汽车概念,7,17
300632.SZ,300632,脑机接口;福建自贸区;海峡两岸;无人机;柔性屏(折叠屏);PET铜箔;MiniLED;鸿蒙概念;智能穿戴;传感器;5G;养老概念;无线耳机;AI眼镜;机器人概念;汽车电子;无人驾驶;消费电子概念;比亚迪概念;富士康概念;人形机器人;医美概念;家用电器;芯片概念;固态电池;PCB概念;充电桩;OLED;储能;锂电池概念;人民币贬值受益;一带一路;先进封装;第三代半导体;消毒剂,35,33
000697.SZ,000697,ST板块;无人机;国企改革;大飞机;军工;西部大开发;人民币贬值受益;航空发动机,8,33
603993.SH,603993,黄金概念;金属铜;金属钴;小金属概念;金属镍;磷化工;盐湖提锂;同花顺出海50;同花顺漂亮100;沪股通;融资融券;宁德时代概念;人民币贬值受益,13,17
603386.SH,603386,毫米波雷达;人形机器人;光纤概念;PCB概念;汽车电子;5G;卫星导航;小米概念;比亚迪概念;机器人概念;华为概念;医疗器械概念,12,17
688020.SH,688020,PCB概念;先进封装;PET铜箔;5G;华为手机;消费电子概念;华为概念;小米概念;专精特新;稀土永磁;融资融券,11,17
002478.SZ,002478,光热发电;核电;特钢概念;海工装备;超超临界发电;储能;专精特新;新能源汽车;一带一路;页岩气;天然气;地下管网;深股通;融资融券,14,33
300313.SZ,300313,乳业;ST板块;西部大开发,3,33
600969.SH,600969,地下管网;一带一路;燃料电池;国企改革;充电桩;污水处理;PPP概念;风电;绿色电力,9,17
002753.SZ,002753,煤化工概念;石墨电极;锂电池概念,3,33
300540.SZ,300540,商业航天;智慧灯杆;车联网(车路协同);氢能源;燃料电池;充电桩;储能;专精特新;天然气;国企改革;西部大开发,11,33
688265.SH,688265,辅助生殖;2025年报预增;融资融券,3,17
