name,code,now,涨停价,跌停价
横店东磁,2056,19.91,21.86,17.88
贵研铂业,600459,20.4,21.97,17.97
三生国健,688336,59.93,71.92,47.94
汇得科技,603192,24.05,26.39,21.59
奥浦迈,688293,52.34,62.77,41.85
天龙集团,300063,8.09,9.71,6.47
福建金森,2679,12.2,13.44,11.0
北京科锐,2350,8.16,9.0,7.36
大叶股份,300879,28.73,34.55,23.03
久量股份,300808,28.81,34.76,23.18
奇德新材,300995,37.36,44.96,29.98
能辉科技,301046,24.9,30.02,20.02
衢州东峰,601515,4.18,4.6,3.76
满坤科技,301132,33.61,40.3,26.86
荣昌生物,688331,80.0,95.89,63.93
贝达药业,300558,46.93,56.35,37.57
滨化股份,601678,4.27,4.71,3.85
科林电气,603050,17.3,18.87,15.44
绿田机械,605259,21.5,23.62,19.32
唐源电气,300789,21.46,25.8,17.2
银都股份,603277,17.3,19.03,15.57
德石股份,301158,21.79,25.96,17.3
福建高速,600033,4.3,4.77,3.91
海创药业,688302,52.21,62.77,41.85
英威腾,2334,8.8,9.68,7.92
沃尔核材,2130,26.49,29.21,23.9
恒邦股份,2237,13.41,14.61,11.95
凯赛生物,688065,48.79,58.62,39.08
太阳能,591,4.48,4.92,4.02
新亚电子,605277,22.51,24.79,20.29
黑猫股份,2068,8.98,9.92,8.12
优德精密,300549,18.1,21.79,14.53
台华新材,603055,9.08,9.99,8.17
天鹅股份,603029,18.19,20.02,16.38
闽发铝业,2578,4.52,5.02,4.1
信宇人,688573,22.91,27.36,18.24
洛凯股份,603829,27.29,30.15,24.67
中海油服,601808,13.74,15.08,12.34
苏奥传感,300507,9.11,10.98,7.32
青岛银行,2948,4.58,5.04,4.12
湖北能源,883,4.6,5.06,4.14
明星电力,600101,9.25,10.15,8.31
和仁科技,300550,13.81,16.62,11.08
吉祥航空,603885,13.87,15.3,12.52
宸展光电,3019,32.85,36.26,29.66
盘江股份,600395,4.7,5.19,4.25
东方智造,2175,5.2,5.2,4.26
洪城环境,600461,9.6,10.53,8.61
凯迪股份,605288,81.96,90.16,73.76
诺瓦星云,301589,154.01,185.47,123.65
齐翔腾达,2408,4.85,5.34,4.37
云铝股份,807,29.0,32.32,26.44
常友科技,301557,142.2,170.64,113.76
天益医疗,301097,54.67,65.4,43.6
网宿科技,300017,10.04,12.02,8.02
科新机电,300092,15.18,18.23,12.15
华茂股份,850,5.1,5.6,4.58
康弘药业,2773,30.75,33.85,27.69
凯中精密,2823,15.8,17.41,14.25
国电南自,600268,10.62,11.64,9.52
TCL智家,2668,10.67,11.69,9.57
立方制药,3020,26.57,29.26,23.94
光线传媒,300251,16.03,19.24,12.82
神火股份,933,26.66,29.39,24.05
富煌钢构,2743,5.38,5.92,4.84
美芯晟,688458,37.7,45.36,30.24
物产中大,600704,5.51,6.06,4.96
重庆燃气,600917,5.53,6.08,4.98
诺诚健华,688428,22.4,26.54,17.7
浙江华业,301616,49.9,59.88,39.92
醋化股份,603968,11.11,12.27,10.04
圆通速递,600233,16.72,18.48,15.12
中国瑞林,603257,56.86,62.03,50.75
森源电气,2358,5.64,6.2,5.08
仙鹤股份,603733,22.76,25.03,20.48
香农芯创,300475,136.26,163.86,109.24
荃银高科,300087,11.43,13.74,9.16
上海临港,600848,11.4,12.61,10.31
国电南瑞,600406,22.96,25.26,20.66
豫光金铅,600531,11.68,12.64,10.34
康辰药业,603590,40.67,44.74,36.6
中旗股份,300575,5.86,7.04,4.7
美农生物,301156,17.6,21.14,14.1
长青股份,2391,5.86,6.47,5.29
金杨精密,301210,35.39,42.46,28.3
丽岛新材,603937,11.88,13.02,10.66
平高电气,600312,17.71,19.54,15.98
海伦哲,300201,5.98,7.12,4.74
润丰股份,301035,71.7,86.0,57.34
创业环保,600874,5.99,6.6,5.4
恒锋工具,300488,30.08,36.14,24.1
百川畅银,300614,12.14,14.62,9.74
四方光电,688665,49.23,58.54,39.02
永艺股份,603600,12.27,13.5,11.04
曼恩斯特,301325,49.11,59.4,39.6
欣锐科技,300745,24.89,29.83,19.89
颀中科技,688352,12.74,15.29,10.19
四方科技,603339,12.77,14.04,11.48
顺网科技,300113,19.3,23.12,15.42
双箭股份,2381,6.61,7.27,5.95
深科达,688328,26.22,31.87,21.25
新农股份,2942,20.01,22.07,18.05
敦煌种业,600354,6.78,7.46,6.1
上大股份,301522,34.36,40.74,27.16
ST智云,300097,6.9,8.23,5.49
中船防务,600685,27.45,30.2,24.71
兴齐眼药,300573,68.6,82.48,54.98
威博液压,920245,28.38,36.72,19.78
奥特维,688516,43.0,51.53,34.35
ST逸飞,688646,36.06,43.14,28.76
永东股份,2753,7.2,7.93,6.49
石化机械,852,7.26,7.94,6.5
友好集团,600778,7.21,7.98,6.53
达刚控股,300103,7.29,8.72,5.82
旭升集团,603305,16.02,16.02,13.1
星网锐捷,2396,29.11,32.15,26.31
开普检测,3008,21.9,24.19,19.79
紫江企业,600210,7.35,8.07,6.61
雅克科技,2409,73.5,81.0,66.28
华谊集团,600623,7.47,8.16,6.68
华融化学,301256,14.7,17.82,11.88
金龙羽,2882,29.89,32.68,26.74
*ST四通,603838,7.48,7.8,7.06
联诚精密,2921,14.87,16.38,13.4
蓝宇股份,301585,30.67,36.97,24.65
华阳股份,600348,7.71,8.48,6.94
中国铁建,601186,7.78,8.56,7.0
ST未名,2581,7.85,8.25,7.47
民生健康,301507,15.71,18.89,12.59
陆家嘴,600663,7.9,8.69,7.11
乐普医疗,300003,15.8,18.98,12.66
英科再生,688087,31.84,38.3,25.54
中盐化工,600328,8.01,8.8,7.2
华策影视,300133,8.02,9.67,6.45
皖天然气,603689,8.2,9.02,7.38
嘉化能源,600273,8.32,9.15,7.49
金洲管道,2443,8.51,9.35,7.65
富邦科技,300387,8.53,10.24,6.82
世运电路,603920,42.55,46.97,38.43
白云山,600332,25.79,28.37,23.21
青岛港,601298,8.66,9.52,7.79
金春股份,300877,26.46,31.57,21.05
宝丰能源,600989,18.34,20.13,16.47
必易微,688045,37.48,45.11,30.07
奥翔药业,603229,9.54,10.46,8.56
明新旭腾,605068,28.99,31.76,25.98
长沙银行,601577,9.69,10.64,8.7
明月镜片,301101,39.03,46.63,31.09
汇通能源,600605,29.37,32.31,26.43
上海电力,600021,19.63,21.65,17.71
大博医疗,2901,49.55,54.52,44.6
宣泰医药,688247,9.95,11.96,7.98
华工科技,988,79.98,87.76,71.8
鹿山新材,603051,20.11,22.12,18.1
浦东金桥,600639,10.2,11.22,9.18
华峰铝业,601702,20.58,22.58,18.48
通威股份,600438,20.81,22.92,18.76
中国海诚,2116,10.42,11.46,9.38
龙旗科技,603341,41.58,45.95,37.59
荣盛石化,2493,10.49,11.5,9.41
建龙微纳,688357,32.07,38.36,25.58
密封科技,301020,21.85,26.24,17.5
上海合晶,688584,22.15,26.41,17.61
辽宁成大,600739,11.42,12.57,10.29
达仁堂,600329,47.05,51.76,42.35
三力制药,603439,12.02,13.0,10.64
唯特偶,301319,47.95,57.54,38.36
共达电声,2655,12.07,13.35,10.93
周大生,2867,12.2,13.41,10.97
伟明环保,603568,24.87,27.35,22.37
尤安设计,300983,24.9,29.88,19.92
万控智造,603070,12.78,13.99,11.45
沪宁股份,300669,25.52,30.79,20.53
北方长龙,301357,140.8,169.49,112.99
怡达股份,300721,12.86,15.43,10.29
新华文轩,601811,13.45,14.8,12.11
民爆光电,301362,40.91,49.09,32.73
泰恩康,301263,27.72,32.81,21.87
永创智能,603901,13.76,15.24,12.47
广东宏大,2683,41.43,45.74,37.42
熙菱信息,300588,28.16,33.7,22.46
华生科技,605180,14.28,15.71,12.85
宁波银行,2142,28.62,31.45,25.73
中公高科,603860,29.83,32.69,26.75
卡莱特,301391,77.51,92.89,61.93
瑞华技术,920099,31.45,41.0,22.08
金辰股份,603396,31.7,34.88,28.54
世纪恒通,301428,33.81,39.61,26.41
微光股份,2801,33.22,36.55,29.91
汇通控股,603409,36.05,39.58,32.38
云南铜业,878,18.12,19.9,16.28
潜能恒信,300191,18.4,21.95,14.63
中密控股,300470,36.88,44.33,29.55
友车科技,688479,18.44,22.19,14.79
田中精机,300461,19.36,23.15,15.43
张小泉,301055,19.57,23.54,15.7
美诺华,603538,19.77,21.76,17.8
广合科技,1389,79.79,87.96,71.96
格力电器,651,40.87,44.97,36.79
智信精密,301512,43.02,51.4,34.26
朗坤科技,301305,21.47,25.73,17.15
奥海科技,2993,43.49,47.84,39.14
力王股份,920627,22.59,29.15,15.71
沪电股份,2463,71.39,78.53,64.25
深科技,21,24.37,26.82,21.94
机科股份,920579,24.74,32.31,17.41
盘古智能,301456,28.5,34.21,22.81
必贝特,688759,29.27,35.15,23.43
井松智能,688251,30.25,35.96,23.98
正帆科技,688596,30.7,36.86,24.58
威迈斯,688612,0.0,37.61,25.07
特宝生物,688278,84.52,101.33,67.55
爱迪特,301580,43.3,51.86,34.58
明微电子,688699,44.39,53.39,35.59
浙江正特,1238,50.2,54.88,44.9
佰维存储,688525,107.48,129.25,86.17
新莱福,301323,54.93,65.94,43.96
超颖电子,603175,65.94,73.12,59.82
北京银行,601169,5.51,6.06,4.96
中兵红箭,519,17.22,18.93,15.49
三湘印象,863,5.33,5.9,4.82
西安银行,600928,3.76,4.14,3.38
银禧科技,300221,9.74,11.68,7.78
国光股份,2749,13.99,15.35,12.56
新劲刚,300629,18.82,22.66,15.1
中钢国际,928,6.53,7.21,5.9
财通证券,601108,8.48,9.32,7.62
东诚药业,2675,13.29,14.61,11.95
盐田港,88,4.55,5.01,4.1
渤海轮渡,603167,9.45,10.43,8.53
天洋新材,603330,7.47,8.23,6.73
溢多利,300381,6.46,7.75,5.17
中远海发,601866,2.53,2.78,2.28
鑫铂股份,3038,15.42,16.83,13.77
中微公司,688012,0.0,327.26,218.18
重庆银行,601963,10.9,12.0,9.82
津药药业,600488,4.22,4.62,3.78
深圳燃气,601139,6.56,7.23,5.91
永兴股份,601033,15.07,16.57,13.55
同和药业,300636,7.77,9.3,6.2
西南证券,600369,4.45,4.9,4.01
融捷健康,300247,4.85,5.82,3.88
亚邦股份,603188,4.6,5.08,4.16
天山股份,877,5.37,5.92,4.84
会通股份,688219,11.9,14.28,9.52
柳化股份,600423,3.83,4.21,3.45
长高电新,2452,8.14,8.95,7.33
*ST天择,603721,18.53,19.74,17.86
通宝能源,600780,5.75,6.31,5.17
聚胶股份,301283,46.35,55.94,37.3
新兴铸管,778,4.1,4.51,3.69
浙江交科,2061,4.03,4.42,3.62
中国能建,601868,2.38,2.61,2.13
南京医药,600713,5.34,5.92,4.84
安旭生物,688075,38.69,46.43,30.95
天原股份,2386,5.45,6.02,4.92
天创时尚,603608,0.0,9.16,7.5
中原高速,600020,4.28,4.7,3.84
容知日新,688768,42.66,51.19,34.13
百川股份,2455,6.8,7.48,6.12
地铁设计,3013,14.2,15.62,12.78
紫金银行,601860,2.75,3.03,2.48
中兰环保,300854,16.17,19.3,12.86
国泰海通,601211,20.81,22.9,18.74
兰州银行,1227,2.33,2.55,2.09
赣粤高速,600269,5.21,5.73,4.69
沃华医药,2107,6.16,6.75,5.53
福晶科技,2222,59.65,65.99,53.99
康强电子,2119,16.49,18.17,14.87
江阴银行,2807,4.67,5.14,4.2
中国铝业,601600,10.89,12.07,9.87
中国通号,688009,5.43,6.53,4.35
华蓝集团,301027,17.57,21.06,14.04
松炀资源,603863,20.48,22.5,18.41
常铝股份,2160,5.04,5.54,4.54
山高环能,803,7.01,7.71,6.31
国信证券,2736,13.17,14.42,11.8
京东方A,725,4.05,4.44,3.64
TCL科技,100,4.49,4.94,4.04
华丰股份,605100,39.29,43.22,35.36
陕建股份,600248,3.59,3.95,3.23
广州发展,600098,6.74,7.44,6.08
绿茵生态,2887,9.37,10.26,8.4
中荣股份,301223,18.3,21.91,14.61
宝钛股份,600456,35.68,39.16,32.04
华帝股份,2035,6.17,6.8,5.56
西藏天路,600326,10.9,12.01,9.83
广东建工,2060,3.66,4.05,3.31
龙建股份,600853,4.22,4.65,3.81
上港集团,600018,5.58,6.13,5.01
中国宝安,9,10.02,11.03,9.03
铁建重工,688425,5.04,6.05,4.03
*ST星农,603789,5.41,5.67,5.13
埃科光电,688610,59.6,71.88,47.92
美克家居,600337,0.0,3.21,2.63
金花股份,600080,7.9,8.69,7.11
中农立华,603970,13.04,14.36,11.75
华夏银行,600015,6.83,7.51,6.15
锦盛新材,300849,16.18,19.43,12.95
皇氏集团,2329,4.77,4.9,4.01
贵阳银行,601997,5.95,6.55,5.36
伟时电子,605218,18.41,20.19,16.52
天岳先进,688234,86.28,103.51,69.01
三棵树,603737,44.39,48.85,39.97
奥士康,2913,41.83,45.88,37.54
云涌科技,688060,41.63,49.87,33.25
圣诺生物,688117,39.98,47.77,31.85
贵州茅台,600519,1408.26,1549.09,1267.43
君实生物,688180,35.0,41.89,27.93
瑞丰新材,300910,59.17,71.08,47.38
吉贝尔,688566,29.2,35.04,23.36
海康威视,2415,29.16,32.07,26.24
豪迈科技,2595,83.07,91.38,74.76
三元生物,301206,26.85,32.17,21.45
欧派家居,603833,52.35,57.5,47.04
炬芯科技,688049,50.58,60.66,40.44
嘉必优,688089,24.29,28.75,19.17
思瑞浦,688536,142.85,172.28,114.86
毕得医药,688073,64.88,78.07,52.05
德马科技,688360,21.6,25.49,16.99
戈碧迦,920438,40.38,52.49,28.27
坤泰股份,1260,19.95,21.96,17.96
亚光股份,603282,19.8,21.84,17.87
江龙船艇,300589,19.2,22.96,15.3
柳药集团,603368,18.09,19.94,16.32
翔宇医疗,688626,53.66,64.07,42.71
广康生化,300804,34.96,42.0,28.0
菜百股份,605599,16.2,17.7,14.48
桐昆股份,601233,15.84,17.44,14.27
濮阳惠成,300481,15.69,18.9,12.6
电气风电,688660,15.56,18.73,12.49
迈得医疗,688310,15.27,18.14,12.1
万通液压,920839,44.18,56.9,30.64
赛腾股份,603283,43.64,48.05,39.31
中新赛克,2912,29.4,31.74,25.97
中信证券,600030,28.68,31.52,25.79
华中数控,300161,28.5,33.78,22.52
乐歌股份,300729,13.92,16.73,11.15
城发环境,885,13.77,15.1,12.36
超声电子,823,13.79,15.09,12.35
天新药业,603235,27.42,30.14,24.66
思源电气,2028,150.02,165.33,135.27
宏德股份,301163,26.35,31.56,21.04
镇洋发展,603213,13.15,14.41,11.79
宏达高科,2144,12.75,14.03,11.48
佛燃能源,2911,12.19,13.4,10.96
道通科技,688208,35.88,43.06,28.7
中原传媒,719,11.84,12.99,10.63
粤高速A,429,11.73,12.89,10.55
彤程新材,603650,46.07,51.13,41.83
宏昌科技,301008,34.37,41.28,27.52
*ST声迅,3004,22.5,23.63,21.38
东莞控股,828,10.85,11.94,9.77
浙江龙盛,600352,10.72,11.8,9.66
罗牛山,735,10.7,11.53,9.43
水星家纺,603365,20.09,22.11,18.09
梅花生物,600873,10.05,11.04,9.04
朗姿股份,2612,19.76,21.73,17.78
三美股份,603379,59.38,64.75,52.97
顺丰控股,2352,38.32,42.14,34.48
苏州固锝,2079,9.35,10.32,8.44
彩蝶实业,603073,18.71,20.48,16.76
矩子科技,300802,18.41,22.1,14.74
红星发展,600367,17.96,19.97,16.34
招商轮船,601872,8.68,9.82,8.04
新中港,605162,8.7,9.54,7.8
华瓷股份,1216,17.34,19.06,15.6
华绿生物,300970,17.36,20.74,13.82
兴欣新材,1358,25.67,28.24,23.1
漳州发展,753,8.5,9.39,7.69
宿迁联盛,603065,8.31,9.14,7.48
光明乳业,600597,8.48,9.12,7.46
南京高科,600064,8.27,9.11,7.45
三达膜,688101,16.54,19.85,13.23
先达股份,603086,8.18,9.01,7.37
海信视像,600060,24.42,26.85,21.97
中国黄金,600916,8.17,8.94,7.32
长江证券,783,8.12,8.93,7.31
振江股份,603507,24.06,26.57,21.74
甬矽电子,688362,32.03,38.64,25.76
设计总院,603357,8.05,8.86,7.25
上海环境,601200,8.05,8.83,7.23
中铁工业,600528,8.03,8.82,7.22
远大控股,626,7.9,8.71,7.13
中国化学,601117,7.66,8.44,6.9
望变电气,603191,15.17,16.7,13.66
雅戈尔,600177,7.51,8.27,6.77
陕天然气,2267,7.52,8.27,6.77
国能日新,301162,52.47,62.82,41.88
东方钽业,962,30.15,32.87,26.89
杭华股份,688571,7.44,8.89,5.93
斯迪克,300806,29.45,35.47,23.65
海晨股份,300873,22.15,26.59,17.73
顺博合金,2996,7.4,8.12,6.64
中交设计,600720,7.4,8.12,6.64
中望软件,688083,66.23,79.37,52.91
中国电研,688128,29.4,35.26,23.5
海森药业,1367,22.01,24.21,19.81
驰宏锌锗,600497,7.18,7.92,6.48
越剑智能,603095,14.37,15.82,12.94
冠昊生物,300238,14.16,16.99,11.33
保立佳,301037,14.13,16.98,11.32
智迪科技,301503,35.39,42.36,28.24
津膜科技,300334,7.01,8.46,5.64
金雷股份,300443,28.05,33.65,22.43
霍普股份,301024,35.08,42.01,28.01
中晟高科,2778,20.7,22.86,18.7
东鹏控股,3012,6.81,7.48,6.12
派斯林,600215,6.76,7.44,6.08
舜禹股份,301519,13.5,16.22,10.82
华测检测,300012,13.43,16.13,10.75
藏格矿业,408,79.93,87.88,71.9
山西焦煤,983,6.58,7.24,5.92
三峡水利,600116,6.53,7.21,5.9
隧道股份,600820,6.46,7.13,5.83
老凤祥,600612,45.12,49.61,40.59
金银河,300619,44.73,54.1,36.06
纵横股份,688070,50.88,61.06,40.7
雷迪克,300652,50.52,60.82,40.54
中信重工,601608,6.35,6.96,5.7
达梦数据,688692,259.76,311.2,207.46
阿拉丁,688179,12.63,15.14,10.1
新相微,688593,18.9,22.7,15.14
华致酒行,300755,18.76,22.56,15.04
粤桂股份,833,18.69,20.66,16.9
海螺新材,619,6.23,6.85,5.61
鸥玛软件,301185,18.63,22.39,14.93
新和成,2001,24.73,27.16,22.22
东阿阿胶,423,49.2,54.18,44.33
国发股份,600538,6.13,6.73,5.51
新强联,300850,42.85,51.41,34.27
九洲药业,603456,18.23,20.04,16.4
翰宇药业,300199,18.41,21.79,14.53
博汇股份,300839,0.0,14.35,9.57
太极股份,2368,23.94,26.27,21.49
优宁维,301166,29.84,35.81,23.87
无锡银行,600908,5.99,6.56,5.36
中国移动,600941,101.0,111.28,91.04
裕兴股份,300305,5.91,7.14,4.76
星辉娱乐,300043,5.89,7.12,4.74
星华新材,301077,29.33,35.2,23.46
百利天恒,688506,351.69,420.0,280.0
天纺标,920753,23.16,30.1,16.22
福赛科技,301529,86.01,104.04,69.36
福成股份,600965,5.78,6.35,5.19
迈克生物,300463,11.48,13.79,9.19
中粮糖业,600737,17.26,18.9,15.46
方大炭素,600516,5.7,6.29,5.15
上峰水泥,672,11.35,12.58,10.3
德尔股份,300473,28.44,34.32,22.88
江南水务,601199,5.66,6.23,5.09
易点天下,301171,33.82,40.54,27.02
华大九天,301269,106.5,127.87,85.25
日辰股份,603755,33.47,36.85,30.15
中金岭南,60,5.61,6.14,5.02
林洋能源,601222,5.58,6.12,5.0
成都银行,601838,16.55,18.18,14.88
测绘股份,300826,16.46,19.69,13.13
德瑞锂电,920523,27.27,35.43,19.09
中设股份,2883,10.9,11.98,9.8
星辉环材,300834,21.8,26.12,17.42
道道全,2852,10.87,11.96,9.78
海天味业,603288,37.85,41.64,34.07
珠海冠宇,688772,21.49,25.79,17.19
万年青,789,5.38,5.91,4.83
瑞德智能,301135,26.74,32.16,21.44
冀中能源,937,5.37,5.9,4.82
中控技术,688777,48.23,57.77,38.51
东北制药,597,5.33,5.86,4.8
中农联合,3042,15.8,17.34,14.18
中信特钢,708,15.74,17.33,14.18
中国电建,601669,5.26,5.78,4.73
江苏银行,600919,10.4,11.45,9.37
金龙机电,300032,5.15,6.19,4.13
苏农银行,603323,5.15,5.67,4.64
海天股份,603759,10.27,11.3,9.24
九州通,600998,5.12,5.63,4.61
飞南资源,301500,15.24,18.32,12.22
北方稀土,600111,45.8,50.11,41.0
金山办公,688111,303.59,364.32,242.88
长城证券,2939,10.11,11.12,9.1
怡合达,301029,25.28,30.31,20.21
花园生物,300401,15.03,18.16,12.1
摩恩电气,2451,9.95,11.06,9.05
屹通新材,300930,29.56,35.47,23.65
乔锋智能,301603,0.0,88.44,58.96
苏文电能,300982,19.5,23.42,15.62
瑞芯微,603893,175.68,193.23,158.09
韶能股份,601,4.84,5.35,4.37
华荣股份,603855,19.21,21.14,17.3
通化金马,766,28.6,31.46,25.74
新疆天业,600075,4.75,5.21,4.27
华研精机,301138,37.63,45.38,30.26
永吉股份,603058,9.42,10.4,8.51
森泰股份,301429,18.97,22.66,15.1
炬光科技,688167,177.07,214.8,143.2
联盛化学,301212,28.05,33.84,22.56
巨化股份,600160,37.68,41.33,33.81
南网能源,3035,4.69,5.15,4.21
安乃达,603350,37.43,41.16,33.68
安徽建工,600502,4.67,5.13,4.19
华能水电,600025,9.26,10.19,8.33
鲁抗医药,600789,9.26,10.1,8.26
中微半导,688380,32.07,38.52,25.68
苏能股份,600925,4.58,5.04,4.12
宏创控股,2379,22.8,25.17,20.59
航天发展,547,22.63,25.14,20.57
粤电力A,539,4.57,5.02,4.1
三旺通信,688618,27.06,32.75,21.83
福耀玻璃,600660,62.83,69.1,56.54
国投电力,600886,13.42,14.76,12.08
重庆水务,601158,4.46,4.91,4.01
汇创达,300909,44.01,53.23,35.49
物产环能,603071,13.26,14.59,11.93
长江传媒,600757,8.81,9.68,7.92
康德莱,603987,8.72,9.63,7.88
宝新能源,690,4.36,4.8,3.92
天融信,2212,9.0,9.58,7.84
华光环能,600475,17.31,19.14,15.66
泰禾智能,603656,21.7,23.9,19.56
宝通科技,300031,21.57,25.96,17.3
长源电力,966,4.32,4.75,3.89
蕾奥规划,300989,17.26,20.53,13.69
南芯科技,688484,38.31,46.14,30.76
国科微,300672,101.39,122.9,81.94
海利尔,603639,12.78,14.04,11.48
TCL中环,2129,8.41,9.25,7.57
达瑞电子,300976,58.79,70.55,47.03
甘咨询,779,8.38,9.22,7.54
浙富控股,2266,4.17,4.59,3.75
华特达因,915,33.25,36.56,29.92
延江股份,300658,12.3,14.9,9.94
隆华科技,300263,8.27,9.92,6.62
三峡能源,600905,4.13,4.54,3.72
江中药业,600750,24.8,27.2,22.26
泰林生物,300813,24.62,29.6,19.74
水晶光电,2273,24.45,26.87,21.99
北陆药业,300016,8.11,9.7,6.46
*ST波导,600130,4.02,4.21,3.81
平煤股份,601666,8.0,8.81,7.21
品茗科技,688109,129.26,153.56,102.38
峰璟股份,2662,3.99,4.39,3.59
南京证券,601990,7.96,8.76,7.16
信音电子,301329,23.79,28.64,19.1
弘亚数控,2833,15.71,17.33,14.18
黄山胶囊,2817,7.91,8.66,7.08
海普瑞,2399,11.85,12.97,10.61
楚天高速,600035,3.92,4.31,3.53
哈尔斯,2615,7.83,8.62,7.06
荣旗科技,301360,70.6,84.6,56.4
纳科诺尔,920522,61.55,76.31,41.09
天津普林,2134,23.22,25.59,20.93
浙文影业,601599,3.86,4.26,3.48
东方财富,300059,23.06,27.7,18.46
交大思诺,300851,26.69,31.92,21.28
鄂尔多斯,600295,11.37,12.53,10.25
胜科纳米,688757,26.74,31.85,21.23
康隆达,603665,30.19,33.32,27.26
闰土股份,2440,7.56,8.33,6.81
乐通股份,2319,11.35,12.46,10.2
永安林业,663,7.57,8.31,6.8
晶升股份,688478,37.9,45.3,30.2
广信股份,603599,11.31,12.45,10.19
北玻股份,2613,3.78,4.14,3.38
晶澳科技,2459,11.25,12.35,10.11
欧普康视,300595,14.95,17.94,11.96
*ST景峰,908,7.46,7.84,7.1
迪普科技,300768,18.86,22.34,14.9
开普云,688228,211.54,253.85,169.23
宁波港,601018,3.7,4.07,3.33
维维股份,600300,3.72,4.07,3.33
中南传媒,601098,11.07,12.18,9.96
依顿电子,603328,11.05,12.18,9.96
ST沈化,698,3.7,3.86,3.5
激智科技,300566,18.37,22.07,14.71
宏景科技,301396,62.9,74.81,49.87
美新科技,301588,18.24,22.0,14.66
万丰股份,603172,18.35,20.13,16.47
兴业证券,601377,7.31,8.04,6.58
森萱医药,920946,10.95,14.23,7.67
中粮科工,301058,10.8,13.08,8.72
分众传媒,2027,7.26,7.99,6.53
美丽生态,10,3.65,3.99,3.27
凯因科技,688687,25.52,30.48,20.32
鹏鼎控股,2938,50.5,55.72,45.59
华骐环保,300929,10.8,13.0,8.66
金禄电子,301282,28.76,34.61,23.07
强力新材,300429,14.3,17.29,11.53
上海医药,601607,17.96,19.78,16.18
兰生股份,600826,10.69,11.81,9.67
德力佳,603092,67.9,74.68,61.1
奥尼电子,301189,39.15,47.02,31.34
海欣股份,600851,7.15,7.83,6.41
港迪技术,301633,66.98,80.4,53.6
龙江交通,601188,3.51,3.87,3.17
光大银行,601818,3.52,3.87,3.17
郑中设计,2811,14.07,15.47,12.65
士兰微,600460,28.01,30.9,25.28
启迪设计,300500,14.01,16.81,11.21
ST八菱,2592,6.97,7.34,6.64
同济科技,600846,13.9,15.35,12.56
康尼机电,603111,6.97,7.67,6.27
亚华电子,301337,27.54,33.05,22.03
山东章鼓,2598,10.27,11.3,9.24
中科蓝讯,688332,126.01,151.79,101.19
瑞纳智能,301129,23.81,28.61,19.07
志特新材,300986,10.19,12.2,8.14
南京聚隆,300644,33.91,40.64,27.1
兖矿能源,600188,13.48,14.84,12.14
汉森制药,2412,6.73,7.4,6.06
星徽股份,300464,6.74,8.08,5.38
德迈仕,301007,36.66,44.28,29.52
新朋股份,2328,6.69,7.36,6.02
万和电气,2543,10.0,11.01,9.01
义翘神州,301047,66.8,80.05,53.37
协鑫能科,2015,9.99,10.99,8.99
万邦医药,301520,39.81,47.89,31.93
小商品城,600415,16.6,18.24,14.92
维科精密,301499,29.62,35.74,23.82
亿联网络,300628,36.31,43.63,29.09
双象股份,2395,16.52,18.15,14.85
招商公路,1965,9.87,10.88,8.9
深圳能源,27,6.59,7.25,5.93
皖新传媒,601801,6.63,7.25,5.93
恒兴新材,603276,16.53,18.11,14.81
南大环境,300864,19.75,23.7,15.8
青岛啤酒,600600,62.34,68.52,56.06
顺发恒能,631,3.29,3.6,2.94
中科三环,970,13.07,14.37,11.75
中国出版,601949,6.53,7.16,5.86
瑞泰科技,2066,19.37,21.43,17.53
惠泉啤酒,600573,12.89,14.27,11.67
西点药业,301130,29.03,34.94,23.3
钧崴电子,301458,32.28,38.77,25.85
南都物业,603506,12.99,14.21,11.63
迪瑞医疗,300396,12.89,15.47,10.31
铁龙物流,600125,6.43,7.08,5.8
国泰环保,301203,32.18,38.62,25.74
浙江恒威,301222,28.79,34.62,23.08
嘉华股份,603182,16.3,17.62,14.42
小方制药,603207,28.79,31.68,25.92
万东医疗,600055,15.92,17.55,14.36
科瑞思,301314,41.4,49.74,33.16
天安新材,603725,9.5,10.45,8.55
科力装备,301552,37.7,45.42,30.28
大华股份,2236,18.77,20.72,16.96
日久光电,3015,15.61,17.22,14.09
国药一致,28,24.81,27.34,22.37
索宝蛋白,603231,18.61,20.48,16.76
双环科技,707,6.19,6.82,5.58
天孚通信,300394,223.49,267.6,178.4
ST合纵,300477,3.03,3.7,2.46
运达股份,300772,18.29,22.13,14.75
利通科技,920225,30.76,39.93,21.51
西部建设,2302,6.15,6.75,5.53
通业科技,300960,24.62,29.46,19.64
力佳科技,920237,24.4,31.9,17.18
上海凯宝,300039,6.1,7.34,4.9
双乐股份,301036,36.6,44.04,29.36
铁科轨道,688569,0.0,25.64,17.1
浙商银行,601916,3.05,3.36,2.75
百合股份,603102,42.72,46.96,38.42
昂利康,2940,33.54,36.87,30.17
思特威,688213,90.98,109.46,72.98
海南橡胶,601118,6.3,6.69,5.47
江苏金租,600901,6.1,6.69,5.47
钱江水利,600283,9.1,10.01,8.19
日照港,600017,3.03,3.33,2.73
山西证券,2500,6.06,6.67,5.45
军信股份,301109,15.13,18.16,12.1
首创环保,600008,3.02,3.32,2.72
